id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
AUDIOV1-0763,Bluetooth Audio Problems,Frequent disconnections,Problem: Frequent disconnections when using apps or calls.,"Symptoms: Frequent disconnections. Sound missing, distorted, or devices not detected. Category: Bluetooth Audio Problems.","Bluetooth pairing issues, codec mismatch, or low battery in headset.",Ensure Bluetooth headset is paired and set as default audio device.,Remove/forget the device and pair it again; check battery level on headset.,Update Bluetooth drivers and ensure Bluetooth service is running.,Switch codec settings if available (AAC/aptX) or use SBC as fallback.,Test headset on another device to confirm it's not a headset issue.,Audio functions correctly and devices are detected; no more audio errors.,high,Windows 11,Desktop,Frequent_disconnections,Frequent disconnections - Audio system event logged in Event Viewer.
AUDIOV1-0530,App & Software Audio Issues,Exclusive mode blocking audio,After update I see: Exclusive mode blocking audio. No sound plays.,"Symptoms: Exclusive mode blocking audio. Sound missing, distorted, or devices not detected. Category: App & Software Audio Issues.","App-specific settings, wrong device selection, or exclusive mode causing routing issues.",Open the app's audio settings and ensure correct output/input device is selected.,Check Windows Volume Mixer to ensure the app is not muted or set to low volume.,Disable exclusive mode in Device Properties → Advanced to allow multiple apps to use audio.,Restart the app and test with another application to determine if app-specific.,Reinstall the app if settings are corrupted or reset app preferences.,Audio functions correctly and devices are detected; no more audio errors.,medium,Windows 10,All-in-One,Exclusive_mode_blocking_audio,Exclusive mode blocking audio - Audio system event logged in Event Viewer.
AUDIOV1-0221,Microphone Input Errors,Mic not working,I have the issue: Mic not working — how to fix?,"Symptoms: Mic not working. Sound missing, distorted, or devices not detected. Category: Microphone Input Errors.","Microphone disabled, wrong input selected, driver or app permission issue.",Ensure microphone is unmuted and selected as default input in Sound Settings.,Check app permissions: Settings → Privacy → Microphone → allow apps to use microphone.,"Test mic in Voice Recorder; if not detected, reinstall mic drivers.",Try different USB port or headset on another PC to rule out hardware.,Adjust mic levels and disable enhancements in Device Properties → Levels/Enhancements.,Audio functions correctly and devices are detected; no more audio errors.,medium,Windows 11,Laptop,Mic_not_working,Mic not working - Audio system event logged in Event Viewer.
AUDIOV1-0627,Sound Settings & Configuration Errors,Spatial Sound issues,My PC shows 'Spatial Sound issues' and I can't hear anything.,"Symptoms: Spatial Sound issues. Sound missing, distorted, or devices not detected. Category: Sound Settings & Configuration Errors.","Incorrect device selection, muted channels, sample rate mismatch, or audio enhancements conflict.",Open Sound Settings and select the correct playback/recording device.,"Set sample rate and bit depth to a supported value (e.g., 44.1kHz or 48kHz).",Disable audio enhancements that may cause distortion.,Run Sound troubleshooter and reset sound settings if necessary.,Ensure system volume and app volumes are not muted or very low.,Audio functions correctly and devices are detected; no more audio errors.,medium,Windows 11,Laptop,Spatial_Sound_issues,Spatial Sound issues - Audio system event logged in Event Viewer.
AUDIOV1-0764,Bluetooth Audio Problems,Pairing fails intermittently,My PC shows 'Pairing fails intermittently' and I can't hear anything.,"Symptoms: Pairing fails intermittently. Sound missing, distorted, or devices not detected. Category: Bluetooth Audio Problems.","Bluetooth pairing issues, codec mismatch, or low battery in headset.",Ensure Bluetooth headset is paired and set as default audio device.,Remove/forget the device and pair it again; check battery level on headset.,Update Bluetooth drivers and ensure Bluetooth service is running.,Switch codec settings if available (AAC/aptX) or use SBC as fallback.,Test headset on another device to confirm it's not a headset issue.,Audio functions correctly and devices are detected; no more audio errors.,high,Windows 11,Tablet,Pairing_fails_intermittently,Pairing fails intermittently - Audio system event logged in Event Viewer.
AUDIOV1-0277,Audio Driver & Device Manager Problems,Driver rollback error,Problem: Driver rollback error when using apps or calls.,"Symptoms: Driver rollback error. Sound missing, distorted, or devices not detected. Category: Audio Driver & Device Manager Problems.","Driver corruption, missing driver, or driver conflicts after update.","Open Device Manager, uninstall the audio driver and restart to let Windows reinstall it.",Download the latest audio driver from OEM website and install as administrator.,"If update caused issues, roll back driver in Device Manager to previous version.",Check Event Viewer for driver-related errors and address specific error codes.,Use OEM audio utilities to run diagnostics or firmware updates for USB sound devices.,Audio functions correctly and devices are detected; no more audio errors.,low,Windows 11,All-in-One,Driver_rollback_error,Driver rollback error - Audio system event logged in Event Viewer.
AUDIOV1-0486,App & Software Audio Issues,No sound in specific app,After update I see: No sound in specific app. No sound plays.,"Symptoms: No sound in specific app. Sound missing, distorted, or devices not detected. Category: App & Software Audio Issues.","App-specific settings, wrong device selection, or exclusive mode causing routing issues.",Open the app's audio settings and ensure correct output/input device is selected.,Check Windows Volume Mixer to ensure the app is not muted or set to low volume.,Disable exclusive mode in Device Properties → Advanced to allow multiple apps to use audio.,Restart the app and test with another application to determine if app-specific.,Reinstall the app if settings are corrupted or reset app preferences.,Audio functions correctly and devices are detected; no more audio errors.,high,Windows 10,Workstation,No_sound_in_specific_app,No sound in specific app - Audio system event logged in Event Viewer.
AUDIOV1-0510,App & Software Audio Issues,No sound in specific app,Problem: No sound in specific app when using apps or calls.,"Symptoms: No sound in specific app. Sound missing, distorted, or devices not detected. Category: App & Software Audio Issues.","App-specific settings, wrong device selection, or exclusive mode causing routing issues.",Open the app's audio settings and ensure correct output/input device is selected.,Check Windows Volume Mixer to ensure the app is not muted or set to low volume.,Disable exclusive mode in Device Properties → Advanced to allow multiple apps to use audio.,Restart the app and test with another application to determine if app-specific.,Reinstall the app if settings are corrupted or reset app preferences.,Audio functions correctly and devices are detected; no more audio errors.,low,Windows 10,Workstation,No_sound_in_specific_app,No sound in specific app - Audio system event logged in Event Viewer.
AUDIOV1-0950,OS Services & System Audio Failures,Corrupted audio system files,After update I see: Corrupted audio system files. No sound plays.,"Symptoms: Corrupted audio system files. Sound missing, distorted, or devices not detected. Category: OS Services & System Audio Failures.","Windows audio services stopped, system file corruption, or interrupted updates.",Open Services.msc and ensure Windows Audio and Windows Audio Endpoint Builder services are running.,Run `sfc /scannow` and `DISM /Online /Cleanup-Image /RestoreHealth` to repair system files.,Uninstall recent audio-related Windows updates if audio broke after update.,Create a new Windows user account to rule out profile corruption affecting audio.,"If unresolved, backup data and perform a system repair or in-place upgrade.",Audio functions correctly and devices are detected; no more audio errors.,high,Windows 10,Laptop,Corrupted_audio_system_files,Corrupted audio system files - Audio system event logged in Event Viewer.
AUDIOV1-0086,Audio Output Not Working,Audio cuts out randomly,Audio cuts out randomly — microphone not recording properly.,"Symptoms: Audio cuts out randomly. Sound missing, distorted, or devices not detected. Category: Audio Output Not Working.","Missing or disabled audio device, corrupted driver, or faulty hardware.",Check the speaker icon in the taskbar; ensure not muted and correct output is selected.,"Open Device Manager → Sound, video and game controllers → scan for hardware changes.",Uninstall and reinstall audio driver; restart PC to let Windows re-detect devices.,Try alternative output (headphones/external speakers) to isolate hardware.,Run Windows Playing Audio troubleshooter (Settings → Troubleshoot → Playing Audio).,Audio functions correctly and devices are detected; no more audio errors.,medium,Windows 10,Laptop,Audio_cuts_out_randomly,Audio cuts out randomly - Audio system event logged in Event Viewer.
