id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
ALLV2-0126,Boot & Startup,Black screen on boot,I get Black screen on boot when using my PC,System fails to boot to Windows; error messages or repair loop.,"Bootloader corruption, disk errors, or incorrect BIOS settings.",Check BIOS/UEFI boot order and ensure correct drive is selected.,Disconnect external devices and try booting again.,Use Windows Recovery → Startup Repair to attempt automatic fixes.,Run check disk: chkdsk /f on system drive from recovery command prompt.,"If bootmgr missing, rebuild BCD using bootrec commands.","Confirm the system behaves normally (e.g., boots, sound plays, pages load).",medium,Windows 10,All-in-One,Boot,Boot & Startup: Black screen on boot - event logged in system
ALLV2-0695,Display / Graphics,Resolution stuck at low,I get Resolution stuck at low when using my PC,"Blank screen, flicker, artifacts, or wrong resolution.","Loose cable, wrong input, faulty GPU or display settings.",Check cables and monitor input source; try another cable if available.,Test onboard video vs discrete GPU to identify adapter issues.,Update GPU drivers and reinstall if crashes occur after updates.,Reset BIOS and check for any display-related settings.,Test with another monitor to rule out panel failure.,"Confirm the system behaves normally (e.g., boots, sound plays, pages load).",low,Windows 10,External Monitor,Display,Display / Graphics: Resolution stuck at low - driver reported error
ALLV2-0667,Display / Graphics,Artifacts / graphical corruption,Artifacts / graphical corruption appeared after recent update,"Blank screen, flicker, artifacts, or wrong resolution.","Loose cable, wrong input, faulty GPU or display settings.",Check cables and monitor input source; try another cable if available.,Test onboard video vs discrete GPU to identify adapter issues.,Update GPU drivers and reinstall if crashes occur after updates.,Reset BIOS and check for any display-related settings.,Test with another monitor to rule out panel failure.,"Confirm the system behaves normally (e.g., boots, sound plays, pages load).",medium,Windows 10,Desktop,Display,Display / Graphics: Artifacts / graphical corruption - diagnostic suggests issue
ALLV2-0220,Hardware Failure,Overheating shutdown,Overheating shutdown appeared after recent update,"Unexpected shutdowns, no POST, unusual noises, or device not detected.","Failing components (PSU, drive, fan), loose connections, or thermal issues.",Power off and inspect internal cables and components for loose connections.,Check event logs and SMART reports for disk errors.,Monitor temperatures and clean dust from cooling components.,Swap suspect components (PSU/RAM) with known-good units if possible.,"If hardware failure confirmed, backup data and replace failing part.","Confirm the system behaves normally (e.g., boots, sound plays, pages load).",low,Windows 10,All-in-One,Hardware,Hardware Failure: Overheating shutdown - kernel event recorded
ALLV2-0984,Peripherals & Other,Keyboard not working,Keyboard not working - system crashes with blue screen,External devices not recognized or not functioning correctly.,"Driver issues, faulty ports, or hardware incompatibility.",Try connecting the device to another USB port or system.,Reinstall device drivers and check manufacturer support pages.,Ensure device firmware is up to date if applicable.,Check power delivery for external drives (use powered hub if needed).,"If device fails on multiple systems, consider replacement.","Confirm the system behaves normally (e.g., boots, sound plays, pages load).",low,Windows 11,Desktop,Peripherals,Peripherals & Other: Keyboard not working - driver reported error
ALLV2-0834,Windows Update / OS,DISM restore health failure,Seeing DISM restore health failure frequently during use,"Updates fail, system rolls back, or SFC/DISM report errors.","Corrupted update cache, missing system files, or incompatible drivers.",Run Windows Update troubleshooter from Settings → Troubleshoot.,Clear SoftwareDistribution folder after stopping update services.,Run sfc /scannow and DISM /Online /Cleanup-Image /RestoreHealth.,Manually download the failed KB update from Microsoft Catalog.,"If feature update fails, use Media Creation Tool for repair/upgrade.","Confirm the system behaves normally (e.g., boots, sound plays, pages load).",high,Windows 10,All-in-One,Update,Windows Update / OS: DISM restore health failure - kernel event recorded
ALLV2-0809,Audio / Microphone,Headphones not detected,Headphones not detected - system crashes with blue screen,"No sound, mic not detected, or distorted audio.","Incorrect device selection, mute, driver issues, or hardware fault.",Select correct playback/input device from sound settings and test.,Restart Windows Audio services via services.msc.,Reinstall audio drivers from the manufacturer site.,Test with alternate headphones/microphone to isolate hardware.,Check microphone permissions in Privacy settings for apps.,"Confirm the system behaves normally (e.g., boots, sound plays, pages load).",medium,Windows 10,External Monitor,Audio,Audio / Microphone: Headphones not detected - driver reported error
ALLV2-0377,Performance & Slow PC,High CPU usage,I get High CPU usage when using my PC,"System is slow, lagging, or unresponsive under normal use.","Background apps, disk/CPU bottlenecks, insufficient RAM, or thermal throttling.",Open Task Manager to identify high CPU/Disk/Memory processes and close them.,Run disk cleanup and remove unnecessary startup apps.,Check for overheating; clean fans and ensure proper airflow.,Consider SSD upgrade or adding more RAM for sustained performance.,Run antivirus scan to rule out malware causing slowdowns.,"Confirm the system behaves normally (e.g., boots, sound plays, pages load).",high,Windows 11,Desktop,Performance,Performance & Slow PC: High CPU usage - diagnostic suggests issue
ALLV2-0474,Storage & Disk,Bad sectors detected,My PC shows Bad sectors detected and then restarts,"Drive inaccessible, errors when reading files, or system prompts to format.","Bad sectors, corrupt filesystem, or failing disk controller.",Backup important data immediately to an external drive.,Run chkdsk /f /r on the affected drive to repair filesystem issues.,Check SMART status using disk utility tools for reallocated sectors.,"If drive is RAW, attempt data recovery tools or professional recovery.",Replace the drive if SMART errors indicate impending failure.,"Confirm the system behaves normally (e.g., boots, sound plays, pages load).",low,Windows 10,All-in-One,Storage,Storage & Disk: Bad sectors detected - event logged in system
ALLV2-0656,Display / Graphics,No display / No signal,My PC shows No display / No signal and then restarts,"Blank screen, flicker, artifacts, or wrong resolution.","Loose cable, wrong input, faulty GPU or display settings.",Check cables and monitor input source; try another cable if available.,Test onboard video vs discrete GPU to identify adapter issues.,Update GPU drivers and reinstall if crashes occur after updates.,Reset BIOS and check for any display-related settings.,Test with another monitor to rule out panel failure.,"Confirm the system behaves normally (e.g., boots, sound plays, pages load).",medium,Windows 11,Server,Display,Display / Graphics: No display / No signal - kernel event recorded
