id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
AUD-001,Audio / Microphone Error,No audio output,No audio output started after Windows update,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",low,Windows 11,Laptop,Audio,Driver: No audio output - driver installation failed
AUD-002,Audio / Microphone Error,No audio output,No audio output and apps show no audio output,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",high,Windows 10,External USB Device,Audio,Audio: No audio output - endpoint not found
AUD-003,Audio / Microphone Error,No audio output,No audio output and troubleshooting did not fix it,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",medium,Windows 10,Laptop,Audio,Audio: No audio output - endpoint not found
AUD-004,Audio / Microphone Error,No audio output,No audio output and Device Manager shows issues,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",low,Windows 10,External USB Device,Audio,Driver: No audio output - driver installation failed
AUD-005,Audio / Microphone Error,No audio output,No audio output and the audio icon has a red X,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",medium,Windows 10,Desktop,Audio,System: No audio output - device disabled
AUD-006,Audio / Microphone Error,No audio output,No audio output — I can't hear sound even though volume is up,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",low,Windows 11,Desktop,Audio,System: No audio output - device disabled
AUD-007,Audio / Microphone Error,No audio output,No audio output and apps show no audio output,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",low,Windows 11,Laptop,Audio,Audio: No audio output - endpoint not found
AUD-008,Audio / Microphone Error,No audio output,No audio output when using headphones,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",low,Windows 11,Desktop,Audio,System: No audio output - device disabled
AUD-009,Audio / Microphone Error,No audio output,No audio output — I can't hear sound even though volume is up,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",high,Windows 11,External USB Device,Audio,Audio: No audio output - endpoint not found
AUD-010,Audio / Microphone Error,No audio output,No audio output when using headphones,"No sound from speakers/headphones, volume shows activity but no sound","Wrong output device selected, muted app, or driver issue",Click the speaker icon and choose the correct playback device; test sound.,Open Volume Mixer and ensure apps are not muted.,Restart Windows Audio services: services.msc → restart Windows Audio and Endpoint Builder.,Uninstall audio device in Device Manager and restart to allow reinstall.,"If using external speakers, test on another device to rule out hardware failure.","Audio input/output works for calls, recordings and media playback without distortion or dropouts.",low,Windows 11,External USB Device,Audio,System: No audio output - device disabled
