id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
BOOTV1-0500,Missing or Damaged System Files,Blue screen before login,Can't boot — the screen says: Blue screen before login. What do I do?,System fails to start normally; shows error 'Blue screen before login' during early boot. Observed in category: Missing or Damaged System Files.,"Missing or corrupted system files required for boot (winload, hal, registry hive).",Boot to recovery and run `sfc /scannow` to repair system files.,Run `DISM /Online /Cleanup-Image /RestoreHealth` to fix Windows image corruption.,"If winload.efi or hal.dll missing, copy these from a matching Windows install media.",Use System Restore to return to a point before corruption occurred.,"If missing files cannot be restored, perform an in-place upgrade/repair with installation media.",System boots normally to Windows and user can log in without errors.,high,Windows 10,Desktop,Blue_screen_before_login,Blue screen before login - Boot error logged in system event.
BOOTV1-0028,Bootloader / Boot Manager Errors,A required device isn't connected or can't be accessed,Can't boot — the screen says: A required device isn't connected or can't be accessed. What do I do?,System fails to start normally; shows error 'A required device isn't connected or can't be accessed' during early boot. Observed in category: Bootloader / Boot Manager Errors.,"Bootloader or BCD corruption, wrong active partition, or missing boot files.",Restart and enter BIOS/UEFI settings (commonly F2/F10/DEL) to check boot order.,Ensure the Windows drive is set as the first boot device and save changes.,Boot from Windows installation media and select 'Repair your computer' → 'Startup Repair'.,"If Startup Repair fails, open Command Prompt and run: `bootrec /fixmbr`, `bootrec /fixboot`, `bootrec /rebuildbcd`.","If drive errors persist, connect the drive to another PC to verify disk health.",System boots normally to Windows and user can log in without errors.,high,Windows 10,Laptop,A_required_device_isn't_connected_or_can't_be_accessed,A required device isn't connected or can't be accessed - Boot error logged in system event.
BOOTV1-0597,Driver Loading Failures at Boot,GPU driver crash causing black screen on boot,Can't boot — the screen says: GPU driver crash causing black screen on boot. What do I do?,System fails to start normally; shows error 'GPU driver crash causing black screen on boot' during early boot. Observed in category: Driver Loading Failures at Boot.,Required storage or chipset driver failed to load during early boot.,Boot into Safe Mode (F8/Shift+Restart) and check Device Manager for driver errors.,Uninstall the problematic driver and reboot to allow Windows to use a generic driver.,Download and install the correct driver directly from the device manufacturer's website.,"If storage drivers cause INACCESSIBLE_BOOT_DEVICE, ensure correct SATA/RAID drivers are present.","If driver fixes fail, use System Restore or restore drivers from known-good backup.",System boots normally to Windows and user can log in without errors.,high,Windows 11,Laptop,GPU_driver_crash_causing_black_screen_on_boot,GPU driver crash causing black screen on boot - Boot error logged in system event.
BOOTV1-0328,BIOS / UEFI Firmware Misconfiguration,BIOS cannot detect boot disk,BIOS cannot detect boot disk appears and then the machine hangs with a black screen.,System fails to start normally; shows error 'BIOS cannot detect boot disk' during early boot. Observed in category: BIOS / UEFI Firmware Misconfiguration.,"Firmware misconfiguration, wrong boot mode, or incompatible BIOS settings.",Enter BIOS/UEFI and reset to factory/default settings.,Switch boot mode between UEFI and Legacy only if necessary for your disk type.,Ensure Secure Boot and TPM settings match your OS requirements or temporarily disable them.,Update BIOS/UEFI firmware only using the vendor's official tool and instructions.,Check that the boot disk is detected in BIOS; re-seat drive cables if not detected.,System boots normally to Windows and user can log in without errors.,low,Windows 11,Laptop,BIOS_cannot_detect_boot_disk,BIOS cannot detect boot disk - Boot error logged in system event.
BOOTV1-0521,Missing or Damaged System Files,Config\System is missing or contains errors,I'm stuck at 'Config\System is missing or contains errors' every time I start my computer.,System fails to start normally; shows error 'Config\System is missing or contains errors' during early boot. Observed in category: Missing or Damaged System Files.,"Missing or corrupted system files required for boot (winload, hal, registry hive).",Boot to recovery and run `sfc /scannow` to repair system files.,Run `DISM /Online /Cleanup-Image /RestoreHealth` to fix Windows image corruption.,"If winload.efi or hal.dll missing, copy these from a matching Windows install media.",Use System Restore to return to a point before corruption occurred.,"If missing files cannot be restored, perform an in-place upgrade/repair with installation media.",System boots normally to Windows and user can log in without errors.,low,Windows 11,Workstation,ConfigSystem_is_missing_or_contains_errors,Config\System is missing or contains errors - Boot error logged in system event.
BOOTV1-0513,Missing or Damaged System Files,winload.efi is missing,I'm stuck at 'winload.efi is missing' every time I start my computer.,System fails to start normally; shows error 'winload.efi is missing' during early boot. Observed in category: Missing or Damaged System Files.,"Missing or corrupted system files required for boot (winload, hal, registry hive).",Boot to recovery and run `sfc /scannow` to repair system files.,Run `DISM /Online /Cleanup-Image /RestoreHealth` to fix Windows image corruption.,"If winload.efi or hal.dll missing, copy these from a matching Windows install media.",Use System Restore to return to a point before corruption occurred.,"If missing files cannot be restored, perform an in-place upgrade/repair with installation media.",System boots normally to Windows and user can log in without errors.,medium,Windows 11,All-in-One,winload.efi_is_missing,winload.efi is missing - Boot error logged in system event.
BOOTV1-0816,Password / User Profile Boot Issues,User profile corrupted on boot,Can't boot — the screen says: User profile corrupted on boot. What do I do?,System fails to start normally; shows error 'User profile corrupted on boot' during early boot. Observed in category: Password / User Profile Boot Issues.,Corrupt user profile or issues loading user registry hive during sign-in.,Boot to Safe Mode and create a new local admin account to check if profile loads.,Use `net user` commands in recovery to reset passwords if credential loop prevents login.,Rename the corrupted user profile folder and create a new profile to migrate data.,Run `sfc /scannow` to fix any system-side issues preventing profile load.,"Restore user registry hive from backup if available, or restore system to earlier point.",System boots normally to Windows and user can log in without errors.,low,Windows 10,Laptop,User_profile_corrupted_on_boot,User profile corrupted on boot - Boot error logged in system event.
BOOTV1-0725,Display / GPU Boot Issues,Black screen with spinning dots,Black screen with spinning dots appears and then the machine hangs with a black screen.,System fails to start normally; shows error 'Black screen with spinning dots' during early boot. Observed in category: Display / GPU Boot Issues.,GPU/Display driver or hardware failure preventing image output during boot.,Check external monitor and cable connections; try a different cable or port.,"If external monitor shows output, the laptop panel may be faulty—test with external display.","Boot into Safe Mode and uninstall display drivers, then reboot to allow Windows to reinstall drivers.",Reset BIOS display settings and ensure GPU is seated correctly (desktop).,"If no display at all, check power to monitor and test GPU in another system if possible.",System boots normally to Windows and user can log in without errors.,high,Windows 10,All-in-One,Black_screen_with_spinning_dots,Black screen with spinning dots - Boot error logged in system event.
BOOTV1-0757,Display / GPU Boot Issues,No signal to monitor on boot,No signal to monitor on boot appears and then the machine hangs with a black screen.,System fails to start normally; shows error 'No signal to monitor on boot' during early boot. Observed in category: Display / GPU Boot Issues.,GPU/Display driver or hardware failure preventing image output during boot.,Check external monitor and cable connections; try a different cable or port.,"If external monitor shows output, the laptop panel may be faulty—test with external display.","Boot into Safe Mode and uninstall display drivers, then reboot to allow Windows to reinstall drivers.",Reset BIOS display settings and ensure GPU is seated correctly (desktop).,"If no display at all, check power to monitor and test GPU in another system if possible.",System boots normally to Windows and user can log in without errors.,medium,Windows 11,All-in-One,No_signal_to_monitor_on_boot,No signal to monitor on boot - Boot error logged in system event.
BOOTV1-0009,Bootloader / Boot Manager Errors,BOOTMGR is missing,Can't boot — the screen says: BOOTMGR is missing. What do I do?,System fails to start normally; shows error 'BOOTMGR is missing' during early boot. Observed in category: Bootloader / Boot Manager Errors.,"Bootloader or BCD corruption, wrong active partition, or missing boot files.",Restart and enter BIOS/UEFI settings (commonly F2/F10/DEL) to check boot order.,Ensure the Windows drive is set as the first boot device and save changes.,Boot from Windows installation media and select 'Repair your computer' → 'Startup Repair'.,"If Startup Repair fails, open Command Prompt and run: `bootrec /fixmbr`, `bootrec /fixboot`, `bootrec /rebuildbcd`.","If drive errors persist, connect the drive to another PC to verify disk health.",System boots normally to Windows and user can log in without errors.,low,Windows 10,Workstation,BOOTMGR_is_missing,BOOTMGR is missing - Boot error logged in system event.
