id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
BSODV3-0067,Critical System Process Failures,CLEAN_BOOT_FAILURE,CLEAN_BOOT_FAILURE happens randomly while using the computer.,Blue screen with stop code CLEAN_BOOT_FAILURE; system may reboot or hang. Observed during critical system process failures.,"System file corruption, driver issues, or hardware faults.",Restart and boot into Safe Mode (Hold Shift while clicking Restart → Troubleshoot → Startup Settings).,Run System File Checker: open Command Prompt as admin and run `sfc /scannow`.,Run DISM to repair the Windows image: `DISM /Online /Cleanup-Image /RestoreHealth`.,Check Device Manager for recently installed drivers and roll back or update suspicious drivers.,"If issue persists, run chkdsk on system drive and consider a system restore to earlier point.",System boots and runs without repeating the BSOD for at least 10 minutes.,high,Windows 10,Server,CLEAN_BOOT_FAILURE,CLEAN_BOOT_FAILURE - BugCheck recorded in system log.
BSODV3-0411,Hardware Malfunction / Compatibility Errors,CLOCK_WATCHDOG_TIMEOUT,I keep getting a blue screen with code CLOCK_WATCHDOG_TIMEOUT.,Blue screen with stop code CLOCK_WATCHDOG_TIMEOUT; system may reboot or hang. Observed during hardware malfunction / compatibility errors.,"Possible hardware failure (CPU, PSU, motherboard) or overheating/overclock instability.",Power down and inspect internal components for loose cables or obvious damage.,Check system temperatures in BIOS/UEFI and ensure fans/heatsinks are working.,Run vendor hardware diagnostics (built-in diagnostics or bootable tools).,"If available, swap suspect components (PSU/RAM) with known-good units to isolate failure.",Backup data and replace failing hardware as indicated by diagnostics.,System boots and runs without repeating the BSOD for at least 10 minutes.,medium,Windows 11,Laptop,CLOCK_WATCHDOG_TIMEOUT,CLOCK_WATCHDOG_TIMEOUT - BugCheck recorded in system log.
BSODV3-0161,Memory & RAM Errors,MEMORY_MANAGEMENT,I keep getting a blue screen with code MEMORY_MANAGEMENT.,Blue screen with stop code MEMORY_MANAGEMENT; system may reboot or hang. Observed during memory & ram errors.,"Possible faulty RAM, memory corruption, or driver accessing bad memory.","Power off and reseat RAM modules; if multiple, try one module at a time to isolate faulty RAM.",Run Windows Memory Diagnostic (mdsched.exe) and follow results after reboot.,Update motherboard chipset and memory-related drivers from vendor website.,"If errors persist, test with MemTest86 for extended testing.",Backup important data and plan to replace failing memory modules if diagnostics report faults.,System boots and runs without repeating the BSOD for at least 10 minutes.,medium,Windows 11,Server,MEMORY_MANAGEMENT,MEMORY_MANAGEMENT - BugCheck recorded in system log.
BSODV3-0130,Memory & RAM Errors,IRQL_NOT_LESS_OR_EQUAL,"Every time I try to boot, I get IRQL_NOT_LESS_OR_EQUAL.",Blue screen with stop code IRQL_NOT_LESS_OR_EQUAL; system may reboot or hang. Observed during memory & ram errors.,"Possible faulty RAM, memory corruption, or driver accessing bad memory.","Power off and reseat RAM modules; if multiple, try one module at a time to isolate faulty RAM.",Run Windows Memory Diagnostic (mdsched.exe) and follow results after reboot.,Update motherboard chipset and memory-related drivers from vendor website.,"If errors persist, test with MemTest86 for extended testing.",Backup important data and plan to replace failing memory modules if diagnostics report faults.,System boots and runs without repeating the BSOD for at least 10 minutes.,high,Windows 10,Server,IRQL_NOT_LESS_OR_EQUAL,IRQL_NOT_LESS_OR_EQUAL - BugCheck recorded in system log.
BSODV3-0066,Critical System Process Failures,CRITICAL_PROCESS_DIED,My PC shows CRITICAL_PROCESS_DIED and restarts immediately.,Blue screen with stop code CRITICAL_PROCESS_DIED; system may reboot or hang. Observed during critical system process failures.,"System file corruption, driver issues, or hardware faults.",Restart and boot into Safe Mode (Hold Shift while clicking Restart → Troubleshoot → Startup Settings).,Run System File Checker: open Command Prompt as admin and run `sfc /scannow`.,Run DISM to repair the Windows image: `DISM /Online /Cleanup-Image /RestoreHealth`.,Check Device Manager for recently installed drivers and roll back or update suspicious drivers.,"If issue persists, run chkdsk on system drive and consider a system restore to earlier point.",System boots and runs without repeating the BSOD for at least 10 minutes.,high,Windows 10,Laptop,CRITICAL_PROCESS_DIED,CRITICAL_PROCESS_DIED - BugCheck recorded in system log.
BSODV3-0003,Critical System Process Failures,KERNEL_SECURITY_CHECK_FAILURE,My PC shows KERNEL_SECURITY_CHECK_FAILURE and restarts immediately.,Blue screen with stop code KERNEL_SECURITY_CHECK_FAILURE; system may reboot or hang. Observed during critical system process failures.,"System file corruption, driver issues, or hardware faults.",Restart and boot into Safe Mode (Hold Shift while clicking Restart → Troubleshoot → Startup Settings).,Run System File Checker: open Command Prompt as admin and run `sfc /scannow`.,Run DISM to repair the Windows image: `DISM /Online /Cleanup-Image /RestoreHealth`.,Check Device Manager for recently installed drivers and roll back or update suspicious drivers.,"If issue persists, run chkdsk on system drive and consider a system restore to earlier point.",System boots and runs without repeating the BSOD for at least 10 minutes.,low,Windows 10,Desktop,KERNEL_SECURITY_CHECK_FAILURE,KERNEL_SECURITY_CHECK_FAILURE - BugCheck recorded in system log.
BSODV3-0529,CPU / Processor Errors,UNEXPECTED_KERNEL_MODE_TRAP,UNEXPECTED_KERNEL_MODE_TRAP appears after a recent update and Windows won't stay on.,Blue screen with stop code UNEXPECTED_KERNEL_MODE_TRAP; system may reboot or hang. Observed during cpu / processor errors.,"System file corruption, driver issues, or hardware faults.",Reset BIOS settings to defaults and disable overclocking to test stability.,Ensure CPU cooler is properly seated and thermal paste applied; monitor temperatures.,Run CPU stress tests (short) in a controlled environment to check stability.,Update BIOS/firmware to latest vendor version to fix microcode issues.,"If CPU faults persist, consult hardware support — replace motherboard/CPU if needed.",System boots and runs without repeating the BSOD for at least 10 minutes.,high,Windows 11,Workstation,UNEXPECTED_KERNEL_MODE_TRAP,UNEXPECTED_KERNEL_MODE_TRAP - BugCheck recorded in system log.
BSODV3-0025,Critical System Process Failures,SESSION_HAS_VALID_POOL_ON_EXIT,"Every time I try to boot, I get SESSION_HAS_VALID_POOL_ON_EXIT.",Blue screen with stop code SESSION_HAS_VALID_POOL_ON_EXIT; system may reboot or hang. Observed during critical system process failures.,"System file corruption, driver issues, or hardware faults.",Restart and boot into Safe Mode (Hold Shift while clicking Restart → Troubleshoot → Startup Settings).,Run System File Checker: open Command Prompt as admin and run `sfc /scannow`.,Run DISM to repair the Windows image: `DISM /Online /Cleanup-Image /RestoreHealth`.,Check Device Manager for recently installed drivers and roll back or update suspicious drivers.,"If issue persists, run chkdsk on system drive and consider a system restore to earlier point.",System boots and runs without repeating the BSOD for at least 10 minutes.,low,Windows 11,Desktop,SESSION_HAS_VALID_POOL_ON_EXIT,SESSION_HAS_VALID_POOL_ON_EXIT - BugCheck recorded in system log.
BSODV3-0962,Security / Antivirus / Malware-Triggered Crashes,CRITICAL_STRUCTURE_CORRUPTION,My PC shows CRITICAL_STRUCTURE_CORRUPTION and restarts immediately.,Blue screen with stop code CRITICAL_STRUCTURE_CORRUPTION; system may reboot or hang. Observed during security / antivirus / malware-triggered crashes.,Security software or malware interfering with kernel processes.,Boot into Safe Mode and temporarily disable third-party antivirus/security software to test.,Run full antivirus and anti-malware scans from bootable rescue media if needed.,Check recent security software updates and roll back if BSOD started after an update.,Ensure security tools are vendor-approved and compatible with your OS version.,"If malware suspected, backup data and perform a clean install after cleaning the system.",System boots and runs without repeating the BSOD for at least 10 minutes.,medium,Windows 11,Workstation,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION - BugCheck recorded in system log.
BSODV3-0664,GPU / Display System Errors,VIDEO_MEMORY_MANAGEMENT_INTERNAL,My PC shows VIDEO_MEMORY_MANAGEMENT_INTERNAL and restarts immediately.,Blue screen with stop code VIDEO_MEMORY_MANAGEMENT_INTERNAL; system may reboot or hang. Observed during gpu / display system errors.,"Possible faulty RAM, memory corruption, or driver accessing bad memory.",Update or roll back GPU drivers; for crashes use DDU to remove old drivers first.,Ensure the GPU is properly seated and auxiliary power connectors are attached.,Test with onboard graphics (if available) or another monitor/cable to isolate the display path.,Lower GPU clocks to default if overclocked and test for stability.,Check GPU temperatures and run GPU stress test briefly to verify stability.,System boots and runs without repeating the BSOD for at least 10 minutes.,low,Windows 11,Server,VIDEO_MEMORY_MANAGEMENT_INTERNAL,VIDEO_MEMORY_MANAGEMENT_INTERNAL - BugCheck recorded in system log.
