id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
BOOT-001,Boot / Startup Error,Automatic Repair Loop,Automatic Repair Loop appears after power on and won't let me reach desktop,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,low,Windows 11,Laptop,Boot,BootMgr: Automatic Repair Loop - missing critical file
BOOT-002,Boot / Startup Error,Automatic Repair Loop,I see Automatic Repair Loop and Windows restarts repeatedly,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,high,Windows 10,Laptop,Boot,UEFI: Automatic Repair Loop secure boot check failed
BOOT-003,Boot / Startup Error,Automatic Repair Loop,Boot stops with Automatic Repair Loop and shows advanced options,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,low,Windows 10,Laptop,Boot,BootMgr: Automatic Repair Loop - missing critical file
BOOT-004,Boot / Startup Error,Automatic Repair Loop,Boot issue: Automatic Repair Loop shown and system cannot start,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,high,Windows 10,Laptop,Boot,UEFI: Automatic Repair Loop secure boot check failed
BOOT-005,Boot / Startup Error,Automatic Repair Loop,Boot stops with Automatic Repair Loop and shows advanced options,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,low,Windows 11,Desktop,Boot,StartupRepair: Automatic Repair Loop failed to repair automatic boot issue
BOOT-006,Boot / Startup Error,Automatic Repair Loop,I see Automatic Repair Loop and Windows restarts repeatedly,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,high,Windows 11,Desktop,Boot,SrtTrail: Automatic Repair Loop - see C:\Windows\System32\Logfiles\Srt\SrtTrail.txt
BOOT-007,Boot / Startup Error,Automatic Repair Loop,I see Automatic Repair Loop and Windows restarts repeatedly,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,low,Windows 11,Laptop,Boot,StartupRepair: Automatic Repair Loop failed to repair automatic boot issue
BOOT-008,Boot / Startup Error,Automatic Repair Loop,Boot stops with Automatic Repair Loop and shows advanced options,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,low,Windows 11,Desktop,Boot,UEFI: Automatic Repair Loop secure boot check failed
BOOT-009,Boot / Startup Error,Automatic Repair Loop,"After update, Automatic Repair Loop started happening at boot",PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,low,Windows 11,Laptop,Boot,Winload: Automatic Repair Loop - failure during bootloader stage
BOOT-010,Boot / Startup Error,Automatic Repair Loop,Automatic Repair Loop appears after power on and won't let me reach desktop,PC keeps entering Automatic Repair and can't reach desktop,"Corrupt system files, failed update, or disk errors causing repair loop","Power off, wait 10s and power on again. If still in loop, continue.",Force Windows to Recovery by interrupting boot 2–3 times (power-off during logo) to reach Advanced Options.,Select Troubleshoot → Advanced options → Startup Repair and follow prompts.,"If startup repair fails, open Command Prompt and run: bootrec /fixmbr, bootrec /fixboot, bootrec /rebuildbcd","If still failing, run chkdsk C: /f /r and consider System Restore or Reset this PC.",System boots to desktop without boot errors after completing steps and multiple restarts.,high,Windows 11,Desktop,Boot,UEFI: Automatic Repair Loop secure boot check failed
