id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
DISPLAYV1-0594,Resolution & Scaling Problems,Wrong resolution,I get 'Wrong resolution' and the screen is unusable.,"Symptoms: Wrong resolution. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: Resolution & Scaling Problems.","Incorrect driver, wrong display settings, or incompatible scaling/refresh settings.",Set the native resolution in Display Settings and ensure scaling is at 100% for clarity.,Update GPU drivers and reinstall monitor drivers if listed in Device Manager.,Use monitor OSD to check supported resolutions and adjust accordingly.,"If using a high-DPI display, adjust application scaling via compatibility settings.",Try a different cable (DP/HDMI) that supports the desired resolution/refresh rate.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,low,Windows 10,Desktop,Wrong_resolution,Wrong resolution - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0388,GPU Driver Failures,Blue screen caused by display driver,My monitor shows: Blue screen caused by display driver — how to fix?,"Symptoms: Blue screen caused by display driver. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: GPU Driver Failures.","Corrupted or incompatible GPU driver, OS update conflict, or GPU hardware fault.",Boot to Safe Mode and remove GPU drivers using Display Driver Uninstaller (DDU).,Download and install the latest stable GPU drivers from the vendor (NVIDIA/AMD/Intel).,Check Windows Update optional drivers and install recommended driver packages.,Test with integrated graphics to see if the system is stable without discrete GPU drivers.,"If crashes persist, check Event Viewer for TDR events and consider GPU hardware tests.",Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,high,Windows 10,Desktop,Blue_screen_caused_by_display_driver,Blue screen caused by display driver - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0387,GPU Driver Failures,Blue screen caused by display driver,My monitor shows: Blue screen caused by display driver — how to fix?,"Symptoms: Blue screen caused by display driver. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: GPU Driver Failures.","Corrupted or incompatible GPU driver, OS update conflict, or GPU hardware fault.",Boot to Safe Mode and remove GPU drivers using Display Driver Uninstaller (DDU).,Download and install the latest stable GPU drivers from the vendor (NVIDIA/AMD/Intel).,Check Windows Update optional drivers and install recommended driver packages.,Test with integrated graphics to see if the system is stable without discrete GPU drivers.,"If crashes persist, check Event Viewer for TDR events and consider GPU hardware tests.",Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,medium,Windows 11,Laptop,Blue_screen_caused_by_display_driver,Blue screen caused by display driver - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0136,No Display / Black Screen,No signal to monitor,Problem: No signal to monitor — display not working as expected.,"Symptoms: No signal to monitor. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: No Display / Black Screen.","Cable/port issues, GPU not initializing, incorrect BIOS output, or driver failure.","Power off and disconnect the monitor, then reconnect the video cable firmly.",Try a different cable and port (HDMI -> DisplayPort) and test another monitor if available.,Plug the monitor into the motherboard video port to check integrated graphics output.,Boot into Safe Mode and reinstall graphics drivers using DDU for a clean uninstall.,Reseat the GPU in PCIe slot and test the GPU/monitor on another system if still blank.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,medium,Windows 11,Desktop,No_signal_to_monitor,No signal to monitor - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0958,Hardware Failure: GPU / Monitor,Faulty GPU VRAM,I get 'Faulty GPU VRAM' and the screen is unusable.,"Symptoms: Faulty GPU VRAM. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: Hardware Failure: GPU / Monitor.","Physical GPU/monitor component failure such as VRAM, backlight, or cable damage.",Inspect cables and connectors for visible damage; replace if frayed or bent.,Test GPU or monitor on a known-good system to confirm hardware failure.,"If monitor backlight fails, check warranty or arrange monitor repair/replacement.","If GPU shows artifacts or fails on other systems, contact vendor for RMA/repair.",Backup important data and avoid heavy GPU loads until hardware is replaced.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,medium,Windows 10,Desktop,Faulty_GPU_VRAM,Faulty GPU VRAM - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0126,No Display / Black Screen,Black screen after boot,"After an update, I notice: Black screen after boot.","Symptoms: Black screen after boot. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: No Display / Black Screen.","Cable/port issues, GPU not initializing, incorrect BIOS output, or driver failure.","Power off and disconnect the monitor, then reconnect the video cable firmly.",Try a different cable and port (HDMI -> DisplayPort) and test another monitor if available.,Plug the monitor into the motherboard video port to check integrated graphics output.,Boot into Safe Mode and reinstall graphics drivers using DDU for a clean uninstall.,Reseat the GPU in PCIe slot and test the GPU/monitor on another system if still blank.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,medium,Windows 10,Workstation,Black_screen_after_boot,Black screen after boot - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0003,No Display / Black Screen,Monitor shows 'No signal',I get 'Monitor shows 'No signal'' and the screen is unusable.,"Symptoms: Monitor shows 'No signal'. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: No Display / Black Screen.","Cable/port issues, GPU not initializing, incorrect BIOS output, or driver failure.","Power off and disconnect the monitor, then reconnect the video cable firmly.",Try a different cable and port (HDMI -> DisplayPort) and test another monitor if available.,Plug the monitor into the motherboard video port to check integrated graphics output.,Boot into Safe Mode and reinstall graphics drivers using DDU for a clean uninstall.,Reseat the GPU in PCIe slot and test the GPU/monitor on another system if still blank.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,medium,Windows 11,Workstation,Monitor_shows_No_signal,Monitor shows 'No signal' - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0451,Monitor Detection Issues,HDMI/DP port not working,HDMI/DP port not working happens when I boot or when running games.,"Symptoms: HDMI/DP port not working. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: Monitor Detection Issues.","EDID/port problems, cable faults, or incorrect multi-monitor configuration.",Open Display Settings -> Detect and try 'Detect' to force Windows to find monitors.,Ensure EDID information is not blocked by adapters; use direct cable connections.,Update monitor drivers and GPU drivers; try different cables/ports.,Reset monitor to factory defaults and check OSD for input selection.,"If missing, test the monitor on another PC to confirm detection behavior.",Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,high,Windows 10,Workstation,HDMI_DP_port_not_working,HDMI/DP port not working - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0895,Hardware Failure: GPU / Monitor,Failing GPU causing artifacts,I get 'Failing GPU causing artifacts' and the screen is unusable.,"Symptoms: Failing GPU causing artifacts. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: Hardware Failure: GPU / Monitor.","Physical GPU/monitor component failure such as VRAM, backlight, or cable damage.",Inspect cables and connectors for visible damage; replace if frayed or bent.,Test GPU or monitor on a known-good system to confirm hardware failure.,"If monitor backlight fails, check warranty or arrange monitor repair/replacement.","If GPU shows artifacts or fails on other systems, contact vendor for RMA/repair.",Backup important data and avoid heavy GPU loads until hardware is replaced.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,low,Windows 10,All-in-One,Failing_GPU_causing_artifacts,Failing GPU causing artifacts - Display/GPU diagnostic or Event Viewer entry.
DISPLAYV1-0237,Screen Flickering / Flashing,Vertical flicker lines,"After an update, I notice: Vertical flicker lines.","Symptoms: Vertical flicker lines. Visible display problem such as no output, flicker, wrong resolution, artifacts, or overheating. Category: Screen Flickering / Flashing.","Driver conflicts, refresh rate mismatch, loose cable, or failing panel.",Check and reseat the video cable; try a different cable or port.,Set the monitor refresh rate to a supported value in Display Settings.,Update or roll back the display driver; use DDU for a clean uninstall if needed.,Disable hardware acceleration in the app that's flickering (browser/video player).,Test monitor on another PC to rule out panel or cable defects.,Display functions correctly under normal use and no further artifacts/flicker/black screens observed.,high,Windows 11,Laptop,Vertical_flicker_lines,Vertical flicker lines - Display/GPU diagnostic or Event Viewer entry.
