id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
DISP-001,Display / Graphics Error,No display / No signal,I experience No display / No signal and cannot see BIOS or Windows,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 11,Laptop,Display,GPU: No display / No signal - nvlddmkm driver stopped responding and has recovered
DISP-002,Display / Graphics Error,No display / No signal,No display / No signal occurs intermittently during use,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,high,Windows 10,Desktop,Display,Graphics: No display / No signal - DXGI error on present
DISP-003,Display / Graphics Error,No display / No signal,No display / No signal and troubleshooting suggests display adapter issue,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 10,Desktop,Display,GPU: No display / No signal - nvlddmkm driver stopped responding and has recovered
DISP-004,Display / Graphics Error,No display / No signal,No display / No signal started after a driver update,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,high,Windows 10,Laptop,Display,Graphics: No display / No signal - DXGI error on present
DISP-005,Display / Graphics Error,No display / No signal,No display / No signal and troubleshooting suggests display adapter issue,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 11,All-in-One,Display,Display: No display / No signal - no adapter output detected
DISP-006,Display / Graphics Error,No display / No signal,No display / No signal occurs intermittently during use,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,high,Windows 11,All-in-One,Display,Monitor: No display / No signal - EDID read failed
DISP-007,Display / Graphics Error,No display / No signal,No display / No signal occurs intermittently during use,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 11,Desktop,Display,Display: No display / No signal - no adapter output detected
DISP-008,Display / Graphics Error,No display / No signal,No display / No signal and troubleshooting suggests display adapter issue,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 11,All-in-One,Display,Graphics: No display / No signal - DXGI error on present
DISP-009,Display / Graphics Error,No display / No signal,My system shows No display / No signal and reboots sometimes,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 11,Desktop,Display,Kernel-PnP: No display / No signal - device not migrated
DISP-010,Display / Graphics Error,No display / No signal,I experience No display / No signal and cannot see BIOS or Windows,Monitor shows 'No Signal'; black screen; no BIOS/POST display,"Loose cables, wrong input, GPU not seated, failed GPU/monitor",Ensure monitor power and input source are correct; check cables are fully inserted.,Try a different cable and different monitor input (HDMI/DP/VGA).,If desktop: reseat GPU and check PCI-E power cables; test with onboard video if available.,Reset CMOS/BIOS settings to defaults to clear misconfigurations.,Test GPU in another system or try a known-good GPU to isolate hardware.,Display works normally at expected resolution/refresh rate with stable graphics during use.,high,Windows 11,All-in-One,Display,Graphics: No display / No signal - DXGI error on present
DISP-011,Display / Graphics Error,Screen flickering,Screen flickering started after a driver update,Screen flickers intermittently or during certain apps; visible tearing,"Driver issues, refresh rate mismatch, faulty cable or failing panel",Update or reinstall display drivers from GPU vendor website.,Check and set correct refresh rate in Display Settings; match monitor spec.,Try a different cable (use high-quality HDMI/DP) and port.,"Disable hardware acceleration in apps that flicker (e.g., browsers).","If flicker persists on multiple monitors, consider panel or GPU replacement.",Display works normally at expected resolution/refresh rate with stable graphics during use.,high,Windows 10,Desktop,Display,GPU: Screen flickering - nvlddmkm driver stopped responding and has recovered
DISP-012,Display / Graphics Error,Screen flickering,My system shows Screen flickering and reboots sometimes,Screen flickers intermittently or during certain apps; visible tearing,"Driver issues, refresh rate mismatch, faulty cable or failing panel",Update or reinstall display drivers from GPU vendor website.,Check and set correct refresh rate in Display Settings; match monitor spec.,Try a different cable (use high-quality HDMI/DP) and port.,"Disable hardware acceleration in apps that flicker (e.g., browsers).","If flicker persists on multiple monitors, consider panel or GPU replacement.",Display works normally at expected resolution/refresh rate with stable graphics during use.,low,Windows 10,Desktop,Display,Kernel-PnP: Screen flickering - device not migrated
DISP-013,Display / Graphics Error,Screen flickering,My system shows Screen flickering and reboots sometimes,Screen flickers intermittently or during certain apps; visible tearing,"Driver issues, refresh rate mismatch, faulty cable or failing panel",Update or reinstall display drivers from GPU vendor website.,Check and set correct refresh rate in Display Settings; match monitor spec.,Try a different cable (use high-quality HDMI/DP) and port.,"Disable hardware acceleration in apps that flicker (e.g., browsers).","If flicker persists on multiple monitors, consider panel or GPU replacement.",Display works normally at expected resolution/refresh rate with stable graphics during use.,medium,Windows 11,Laptop,Display,Monitor: Screen flickering - EDID read failed
