id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
DRVR-002,Driver / Device Error,Device Manager yellow warning,Device Manager yellow warning appeared after driver update/install,Yellow exclamation in Device Manager; device not working or limited,"Driver missing, corrupt, or incompatible after update","Open Device Manager, right-click the device and choose 'Properties' to view the error code.",Try 'Update driver' → Search automatically for drivers.,"If that fails, 'Uninstall device' then 'Scan for hardware changes' to reinstall.",Download the official driver from OEM/motherboard website and install manually.,"As a last resort, roll back the driver in Device Manager to a previous version.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,high,Windows 10,Laptop,Driver,PnP: Device Manager yellow warning - driver package install failed
DRVR-004,Driver / Device Error,Device Manager yellow warning,Device Manager yellow warning and system logs show driver initialization failure,Yellow exclamation in Device Manager; device not working or limited,"Driver missing, corrupt, or incompatible after update","Open Device Manager, right-click the device and choose 'Properties' to view the error code.",Try 'Update driver' → Search automatically for drivers.,"If that fails, 'Uninstall device' then 'Scan for hardware changes' to reinstall.",Download the official driver from OEM/motherboard website and install manually.,"As a last resort, roll back the driver in Device Manager to a previous version.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,high,Windows 10,Laptop,Driver,PnP: Device Manager yellow warning - driver package install failed
DRVR-007,Driver / Device Error,Device Manager yellow warning,Device Manager yellow warning and the device shows code 43,Yellow exclamation in Device Manager; device not working or limited,"Driver missing, corrupt, or incompatible after update","Open Device Manager, right-click the device and choose 'Properties' to view the error code.",Try 'Update driver' → Search automatically for drivers.,"If that fails, 'Uninstall device' then 'Scan for hardware changes' to reinstall.",Download the official driver from OEM/motherboard website and install manually.,"As a last resort, roll back the driver in Device Manager to a previous version.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,low,Windows 10,Desktop,Driver,DriverFrameworks: Device Manager yellow warning - driver failed to initialize
DRVR-008,Driver / Device Error,Device Manager yellow warning,Device Manager yellow warning and the device shows code 43,Yellow exclamation in Device Manager; device not working or limited,"Driver missing, corrupt, or incompatible after update","Open Device Manager, right-click the device and choose 'Properties' to view the error code.",Try 'Update driver' → Search automatically for drivers.,"If that fails, 'Uninstall device' then 'Scan for hardware changes' to reinstall.",Download the official driver from OEM/motherboard website and install manually.,"As a last resort, roll back the driver in Device Manager to a previous version.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,medium,Windows 11,Laptop,Driver,PnP: Device Manager yellow warning - driver package install failed
DRVR-009,Driver / Device Error,Device Manager yellow warning,Device Manager yellow warning and system logs show driver initialization failure,Yellow exclamation in Device Manager; device not working or limited,"Driver missing, corrupt, or incompatible after update","Open Device Manager, right-click the device and choose 'Properties' to view the error code.",Try 'Update driver' → Search automatically for drivers.,"If that fails, 'Uninstall device' then 'Scan for hardware changes' to reinstall.",Download the official driver from OEM/motherboard website and install manually.,"As a last resort, roll back the driver in Device Manager to a previous version.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,low,Windows 11,Laptop,Driver,DeviceManager: Device Manager yellow warning shows yellow exclamation mark
DRVR-010,Driver / Device Error,Device Manager yellow warning,Device Manager yellow warning — troubleshooting suggests driver rollback,Yellow exclamation in Device Manager; device not working or limited,"Driver missing, corrupt, or incompatible after update","Open Device Manager, right-click the device and choose 'Properties' to view the error code.",Try 'Update driver' → Search automatically for drivers.,"If that fails, 'Uninstall device' then 'Scan for hardware changes' to reinstall.",Download the official driver from OEM/motherboard website and install manually.,"As a last resort, roll back the driver in Device Manager to a previous version.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,medium,Windows 10,Laptop,Driver,DriverFrameworks: Device Manager yellow warning - driver failed to initialize
DRVR-021,Driver / Device Error,GPU driver crash,GPU driver crash — recent update shows device with yellow triangle in Device Manager,"Display driver stopped responding, screen flicker, crashes during graphics tasks","Driver corruption, incompatible driver, or GPU hardware issues",Update GPU driver from official vendor site (NVIDIA/AMD/Intel).,"Use DDU (Display Driver Uninstaller) in Safe Mode to remove old drivers, then reinstall.",Check GPU temps and power connections; ensure PSU provides enough power.,Test GPU in another system if possible to rule out hardware fault.,"If crashes continue, revert to a stable older driver or contact vendor support.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,low,Windows 10,Laptop,GPU,PnP: GPU driver crash - driver package install failed
DRVR-022,Driver / Device Error,GPU driver crash,GPU driver crash — troubleshooting suggests driver rollback,"Display driver stopped responding, screen flicker, crashes during graphics tasks","Driver corruption, incompatible driver, or GPU hardware issues",Update GPU driver from official vendor site (NVIDIA/AMD/Intel).,"Use DDU (Display Driver Uninstaller) in Safe Mode to remove old drivers, then reinstall.",Check GPU temps and power connections; ensure PSU provides enough power.,Test GPU in another system if possible to rule out hardware fault.,"If crashes continue, revert to a stable older driver or contact vendor support.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,low,Windows 11,Desktop,GPU,PnP: GPU driver crash - driver package install failed
DRVR-023,Driver / Device Error,GPU driver crash,GPU driver crash and system logs show driver initialization failure,"Display driver stopped responding, screen flicker, crashes during graphics tasks","Driver corruption, incompatible driver, or GPU hardware issues",Update GPU driver from official vendor site (NVIDIA/AMD/Intel).,"Use DDU (Display Driver Uninstaller) in Safe Mode to remove old drivers, then reinstall.",Check GPU temps and power connections; ensure PSU provides enough power.,Test GPU in another system if possible to rule out hardware fault.,"If crashes continue, revert to a stable older driver or contact vendor support.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,medium,Windows 10,Laptop,GPU,DeviceManager: GPU driver crash shows yellow exclamation mark
DRVR-025,Driver / Device Error,GPU driver crash,GPU driver crash — user reported loss of function after update,"Display driver stopped responding, screen flicker, crashes during graphics tasks","Driver corruption, incompatible driver, or GPU hardware issues",Update GPU driver from official vendor site (NVIDIA/AMD/Intel).,"Use DDU (Display Driver Uninstaller) in Safe Mode to remove old drivers, then reinstall.",Check GPU temps and power connections; ensure PSU provides enough power.,Test GPU in another system if possible to rule out hardware fault.,"If crashes continue, revert to a stable older driver or contact vendor support.",Device functions correctly and Device Manager shows no errors after drivers updated/installed.,low,Windows 11,Laptop,GPU,DriverFrameworks: GPU driver crash - driver failed to initialize
