id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
HARDV1-0989,Overheating & Thermal Failures,HDD overheating in laptop,I see 'HDD overheating in laptop' and the system is unstable.,"Symptoms: HDD overheating in laptop. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Overheating & Thermal Failures.","Poor airflow, failed cooling components, or degraded thermal interface causing overheating.",Check case fans and airflow; clean dust and ensure unobstructed vents.,Monitor temperatures under load and at idle to identify spikes.,Reapply thermal paste to CPU/GPU if paste is old or dried.,Ensure laptop vents are clear and use a cooling pad for laptops.,"If temperatures remain high, upgrade cooling components (better cooler, additional fans).",System runs stable under normal use and stress tests without reproducing the hardware fault.,low,Windows 11,Laptop,HDD_overheating_in_laptop,HDD overheating in laptop - Hardware diagnostic entry or SMART log recorded.
HARDV1-0969,Overheating & Thermal Failures,Thermal paste degraded,Thermal paste degraded happens randomly and causes crashes.,"Symptoms: Thermal paste degraded. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Overheating & Thermal Failures.","Poor airflow, failed cooling components, or degraded thermal interface causing overheating.",Check case fans and airflow; clean dust and ensure unobstructed vents.,Monitor temperatures under load and at idle to identify spikes.,Reapply thermal paste to CPU/GPU if paste is old or dried.,Ensure laptop vents are clear and use a cooling pad for laptops.,"If temperatures remain high, upgrade cooling components (better cooler, additional fans).",System runs stable under normal use and stress tests without reproducing the hardware fault.,high,Windows 10,Workstation,Thermal_paste_degraded,Thermal paste degraded - Hardware diagnostic entry or SMART log recorded.
HARDV1-0957,Overheating & Thermal Failures,Case airflow insufficient,Case airflow insufficient happens randomly and causes crashes.,"Symptoms: Case airflow insufficient. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Overheating & Thermal Failures.","Poor airflow, failed cooling components, or degraded thermal interface causing overheating.",Check case fans and airflow; clean dust and ensure unobstructed vents.,Monitor temperatures under load and at idle to identify spikes.,Reapply thermal paste to CPU/GPU if paste is old or dried.,Ensure laptop vents are clear and use a cooling pad for laptops.,"If temperatures remain high, upgrade cooling components (better cooler, additional fans).",System runs stable under normal use and stress tests without reproducing the hardware fault.,low,Windows 10,Workstation,Case_airflow_insufficient,Case airflow insufficient - Hardware diagnostic entry or SMART log recorded.
HARDV1-0212,Hard Drive / SSD / Storage Device Errors,SMART warning - drive failing,SMART warning - drive failing happens randomly and causes crashes.,"Symptoms: SMART warning - drive failing. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Hard Drive / SSD / Storage Device Errors.","Failing storage device, bad sectors, or controller issues causing read/write errors.",Backup important data immediately to an external drive if accessible.,Run SMART check using vendor tools (CrystalDiskInfo) to inspect drive health.,Run chkdsk on the affected drive: `chkdsk D: /f /r` (replace D: as needed).,Try connecting the drive to another port or PC to verify detection.,"If SMART indicates failure, replace the drive and restore data from backup.",System runs stable under normal use and stress tests without reproducing the hardware fault.,medium,Windows 10,Laptop,SMART_warning_-_drive_failing,SMART warning - drive failing - Hardware diagnostic entry or SMART log recorded.
HARDV1-0152,Hard Drive / SSD / Storage Device Errors,Corrupted data from failing storage,After recent changes I now experience: Corrupted data from failing storage.,"Symptoms: Corrupted data from failing storage. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Hard Drive / SSD / Storage Device Errors.","Failing storage device, bad sectors, or controller issues causing read/write errors.",Backup important data immediately to an external drive if accessible.,Run SMART check using vendor tools (CrystalDiskInfo) to inspect drive health.,Run chkdsk on the affected drive: `chkdsk D: /f /r` (replace D: as needed).,Try connecting the drive to another port or PC to verify detection.,"If SMART indicates failure, replace the drive and restore data from backup.",System runs stable under normal use and stress tests without reproducing the hardware fault.,medium,Windows 11,Desktop,Corrupted_data_from_failing_storage,Corrupted data from failing storage - Hardware diagnostic entry or SMART log recorded.
HARDV1-0690,Cooling System Errors,CPU fan not detected,After recent changes I now experience: CPU fan not detected.,"Symptoms: CPU fan not detected. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Cooling System Errors.","Failed fans, dried thermal paste, clogged heatsinks leading to thermal throttling or shutdowns.",Inspect and clean dust from fans and heatsinks; ensure fans spin freely.,Reapply thermal paste on CPU if it is older than 2–3 years.,"Ensure proper case airflow: intake at front, exhaust at rear/top.",Replace failed fans and check fan headers and cables for power.,Consider upgrading cooler if temperatures remain high under load.,System runs stable under normal use and stress tests without reproducing the hardware fault.,medium,Windows 10,Workstation,CPU_fan_not_detected,CPU fan not detected - Hardware diagnostic entry or SMART log recorded.
HARDV1-0994,Overheating & Thermal Failures,Thermal paste degraded,My computer reports: Thermal paste degraded — how to fix?,"Symptoms: Thermal paste degraded. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Overheating & Thermal Failures.","Poor airflow, failed cooling components, or degraded thermal interface causing overheating.",Check case fans and airflow; clean dust and ensure unobstructed vents.,Monitor temperatures under load and at idle to identify spikes.,Reapply thermal paste to CPU/GPU if paste is old or dried.,Ensure laptop vents are clear and use a cooling pad for laptops.,"If temperatures remain high, upgrade cooling components (better cooler, additional fans).",System runs stable under normal use and stress tests without reproducing the hardware fault.,low,Windows 11,Desktop,Thermal_paste_degraded,Thermal paste degraded - Hardware diagnostic entry or SMART log recorded.
HARDV1-0673,Cooling System Errors,Clogged heatsinks,Clogged heatsinks happens randomly and causes crashes.,"Symptoms: Clogged heatsinks. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Cooling System Errors.","Failed fans, dried thermal paste, clogged heatsinks leading to thermal throttling or shutdowns.",Inspect and clean dust from fans and heatsinks; ensure fans spin freely.,Reapply thermal paste on CPU if it is older than 2–3 years.,"Ensure proper case airflow: intake at front, exhaust at rear/top.",Replace failed fans and check fan headers and cables for power.,Consider upgrading cooler if temperatures remain high under load.,System runs stable under normal use and stress tests without reproducing the hardware fault.,medium,Windows 11,Workstation,Clogged_heatsinks,Clogged heatsinks - Hardware diagnostic entry or SMART log recorded.
HARDV1-0277,GPU / Graphics Card Errors,GPU driver crash under load,I see 'GPU driver crash under load' and the system is unstable.,"Symptoms: GPU driver crash under load. Typically causes instability, crashes, failure to boot, or degraded performance. Category: GPU / Graphics Card Errors.","GPU overheating, driver failure, or power/connectivity issues to the graphics card.",Ensure GPU power connectors are firmly attached and card is seated in PCIe slot.,Boot into Safe Mode and reinstall GPU drivers (use DDU for clean uninstall).,Monitor GPU temperatures and clean dust from heatsink/fans.,Test with integrated graphics or another GPU to isolate the card.,"If hardware failure confirmed, RMA or replace the GPU.",System runs stable under normal use and stress tests without reproducing the hardware fault.,low,Windows 10,Laptop,GPU_driver_crash_under_load,GPU driver crash under load - Hardware diagnostic entry or SMART log recorded.
HARDV1-0823,Cable & Connector Issues,Damaged power connector,Damaged power connector happens randomly and causes crashes.,"Symptoms: Damaged power connector. Typically causes instability, crashes, failure to boot, or degraded performance. Category: Cable & Connector Issues.",Loose or damaged cables/connectors causing intermittent device detection or power issues.,Power down and reseat SATA/HDMI/DisplayPort/PCIe power cables securely.,Try a different cable to rule out a faulty cable.,Inspect connectors for bent pins or corrosion and replace if damaged.,Ensure cables are not pinched and have proper strain relief.,Use cable ties to avoid accidental unplugging and test again.,System runs stable under normal use and stress tests without reproducing the hardware fault.,high,Windows 10,Laptop,Damaged_power_connector,Damaged power connector - Hardware diagnostic entry or SMART log recorded.
