id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
HW-001,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD detected after startup,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,low,Windows 11,Laptop,Disk,Kernel: Failing Hard Drive / SSD device reported I/O errors
HW-002,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD causing freezes and shutdowns,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,high,Windows 10,Laptop,Disk,Power: Failing Hard Drive / SSD undervoltage detected
HW-003,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD when running heavy apps/games,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,low,Windows 10,Laptop,Disk,Kernel: Failing Hard Drive / SSD device reported I/O errors
HW-004,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD - clicking noise or no boot,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,high,Windows 10,Laptop,Disk,Power: Failing Hard Drive / SSD undervoltage detected
HW-005,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD when running heavy apps/games,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,low,Windows 11,Desktop,Disk,SMART: Failing Hard Drive / SSD reported reallocated sectors threshold exceeded
HW-006,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD causing freezes and shutdowns,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,high,Windows 11,Desktop,Disk,ACPI: Failing Hard Drive / SSD battery charging interrupt failure
HW-007,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD causing freezes and shutdowns,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,low,Windows 11,Laptop,Disk,SMART: Failing Hard Drive / SSD reported reallocated sectors threshold exceeded
HW-008,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD when running heavy apps/games,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,low,Windows 11,Desktop,Disk,Power: Failing Hard Drive / SSD undervoltage detected
HW-009,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD and slow performance observed,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,low,Windows 11,Laptop,Disk,Firmware: Failing Hard Drive / SSD BIOS error at POST stage
HW-010,Hardware Error,Failing Hard Drive / SSD,Failing Hard Drive / SSD detected after startup,"Slow file access, freezing, clicking noises, SMART warning on boot",Drive developing bad sectors or mechanical/electronic failure,Backup important files immediately to external drive or cloud.,"Run SMART check with manufacturer's tool (e.g., CrystalDiskInfo).",Run chkdsk C: /f /r and allow it to run at restart.,"If SMART failing, clone the drive to new SSD/HDD or replace the drive.",Stop using failing drive and consult repair service.,Hardware works normally after following steps for several restarts/use.,high,Windows 11,Desktop,Disk,Power: Failing Hard Drive / SSD undervoltage detected
