id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
NETV1-0311,IP Address & DHCP Errors,No Valid IP Configuration,No Valid IP Configuration — my device shows connected but nothing loads.,"Network issue: No Valid IP Configuration. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: IP Address & DHCP Errors.",DHCP server or router failed to assign an IP; adapter may have static/misconfigured settings.,Run `ipconfig /release` and `ipconfig /renew` to request a new IP from DHCP.,Check that DHCP is enabled on your router and that your adapter is set to obtain IP automatically.,Disable any static IP settings temporarily to test dynamic addressing.,Try connecting via Ethernet to see if wired connection gets a valid IP.,Restart router and the device to reinitialize DHCP leases.,Device can successfully browse websites and ping external hosts without errors.,medium,Windows 10,Desktop,No_Valid_IP_Configuration,No Valid IP Configuration - Network diagnostic entry recorded.
NETV1-0707,Router / Modem Related Errors,WAN port unplugged,My PC reports 'WAN port unplugged' and I don't know how to fix it.,"Network issue: WAN port unplugged. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: Router / Modem Related Errors.",Router/modem hardware or configuration issue causing local network instability.,"Power cycle the router and modem (unplug 30s, plug back in).",Check router LEDs for WAN/link activity and ensure cables are connected.,Log into router admin page and review WAN status and DHCP settings.,Reset router to factory defaults if misconfiguration suspected (backup settings first).,Update router firmware from the vendor's official site if available.,Device can successfully browse websites and ping external hosts without errors.,medium,Windows 11,Router,WAN_port_unplugged,WAN port unplugged - Network diagnostic entry recorded.
NETV1-0895,VPN / Proxy / Firewall Conflicts,Antivirus blocking network,I get 'Antivirus blocking network' when I try to open websites.,"Network issue: Antivirus blocking network. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: VPN / Proxy / Firewall Conflicts.",VPN/proxy/firewall interfering with routing or DNS resolution.,Disconnect from the VPN and check if internet works without it.,Check VPN settings and try a different protocol (OpenVPN/UDP vs TCP).,Disable proxy settings and check firewall rules that may block VPN traffic.,Restart the VPN client and ensure the client is up to date.,"If VPN breaks all traffic, contact VPN provider or switch servers to test.",Device can successfully browse websites and ping external hosts without errors.,low,Windows 11,Smartphone (tether),Antivirus_blocking_network,Antivirus blocking network - Network diagnostic entry recorded.
NETV1-0306,IP Address & DHCP Errors,IP conflict detected,I get 'IP conflict detected' when I try to open websites.,"Network issue: IP conflict detected. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: IP Address & DHCP Errors.",DHCP server or router failed to assign an IP; adapter may have static/misconfigured settings.,Run `ipconfig /release` and `ipconfig /renew` to request a new IP from DHCP.,Check that DHCP is enabled on your router and that your adapter is set to obtain IP automatically.,Disable any static IP settings temporarily to test dynamic addressing.,Try connecting via Ethernet to see if wired connection gets a valid IP.,Restart router and the device to reinitialize DHCP leases.,Device can successfully browse websites and ping external hosts without errors.,low,Windows 11,Laptop,IP_conflict_detected,IP conflict detected - Network diagnostic entry recorded.
NETV1-0761,Ethernet (LAN Cable) Connection Errors,Speed stuck at 10/100 Mbps,After last router reboot I now see: Speed stuck at 10/100 Mbps.,"Network issue: Speed stuck at 10/100 Mbps. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: Ethernet (LAN Cable) Connection Errors.",Cable/port fault or NIC misconfiguration causing link failures.,Ensure Ethernet cable is securely plugged in and test with a different cable.,Try a different LAN port on the router/switch to rule out port failure.,Check adapter link speed in Network Connections and set to auto-negotiate.,Update NIC drivers and disable energy-saving features that may drop the link.,Test the cable with another device to confirm the cable is not faulty.,Device can successfully browse websites and ping external hosts without errors.,medium,Windows 10,Smartphone (tether),Speed_stuck_at_10_100_Mbps,Speed stuck at 10/100 Mbps - Network diagnostic entry recorded.
NETV1-0237,IP Address & DHCP Errors,IP conflict detected,My PC reports 'IP conflict detected' and I don't know how to fix it.,"Network issue: IP conflict detected. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: IP Address & DHCP Errors.",DHCP server or router failed to assign an IP; adapter may have static/misconfigured settings.,Run `ipconfig /release` and `ipconfig /renew` to request a new IP from DHCP.,Check that DHCP is enabled on your router and that your adapter is set to obtain IP automatically.,Disable any static IP settings temporarily to test dynamic addressing.,Try connecting via Ethernet to see if wired connection gets a valid IP.,Restart router and the device to reinitialize DHCP leases.,Device can successfully browse websites and ping external hosts without errors.,high,Windows 11,Smartphone (tether),IP_conflict_detected,IP conflict detected - Network diagnostic entry recorded.
NETV1-0507,Internet Access but Websites Not Loading,ERR_CONNECTION_TIMED_OUT,After last router reboot I now see: ERR_CONNECTION_TIMED_OUT.,"Network issue: ERR_CONNECTION_TIMED_OUT. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: Internet Access but Websites Not Loading.","Protocol/blocking issue: proxy, browser settings, or SSL errors preventing site loads.",Try a different browser and clear the browser cache and cookies.,Disable proxy settings in browser and Windows (Settings → Proxy) and retry.,Ping a website (ping google.com) to test connectivity and traceroute to identify block points.,Check system date/time and SSL settings if seeing certificate errors.,Temporarily disable antivirus/firewall to test whether they block web access.,Device can successfully browse websites and ping external hosts without errors.,low,Windows 11,Smartphone (tether),ERR_CONNECTION_TIMED_OUT,ERR_CONNECTION_TIMED_OUT - Network diagnostic entry recorded.
NETV1-0903,VPN / Proxy / Firewall Conflicts,Proxy server error,"Can't browse, error: Proxy server error. Other devices are fine.","Network issue: Proxy server error. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: VPN / Proxy / Firewall Conflicts.",VPN/proxy/firewall interfering with routing or DNS resolution.,Disconnect from the VPN and check if internet works without it.,Check VPN settings and try a different protocol (OpenVPN/UDP vs TCP).,Disable proxy settings and check firewall rules that may block VPN traffic.,Restart the VPN client and ensure the client is up to date.,"If VPN breaks all traffic, contact VPN provider or switch servers to test.",Device can successfully browse websites and ping external hosts without errors.,high,Windows 11,Router,Proxy_server_error,Proxy server error - Network diagnostic entry recorded.
NETV1-0563,Slow Internet / Low Bandwidth Issues,Interference causing speed drops,Interference causing speed drops — my device shows connected but nothing loads.,"Network issue: Interference causing speed drops. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: Slow Internet / Low Bandwidth Issues.","Bandwidth congestion, ISP throttling, interference, or hardware limits.",Run an internet speed test (speedtest.net) to measure download/upload and ping.,"Restart router and modem, and disconnect any heavy-usage devices.",Move closer to Wi‑Fi or use Ethernet to check if wireless is the bottleneck.,Check for scheduled tasks or background updates using Task Manager that may consume bandwidth.,"If ISP throttling suspected, contact ISP or try VPN to compare speeds.",Device can successfully browse websites and ping external hosts without errors.,high,Windows 11,Laptop,Interference_causing_speed_drops,Interference causing speed drops - Network diagnostic entry recorded.
NETV1-0569,Slow Internet / Low Bandwidth Issues,Bandwidth throttling,Bandwidth throttling — my device shows connected but nothing loads.,"Network issue: Bandwidth throttling. Symptoms: no/slow browsing, timeouts, or adapter errors. Category: Slow Internet / Low Bandwidth Issues.","Bandwidth congestion, ISP throttling, interference, or hardware limits.",Run an internet speed test (speedtest.net) to measure download/upload and ping.,"Restart router and modem, and disconnect any heavy-usage devices.",Move closer to Wi‑Fi or use Ethernet to check if wireless is the bottleneck.,Check for scheduled tasks or background updates using Task Manager that may consume bandwidth.,"If ISP throttling suspected, contact ISP or try VPN to compare speeds.",Device can successfully browse websites and ping external hosts without errors.,high,Windows 10,Smartphone (tether),Bandwidth_throttling,Bandwidth throttling - Network diagnostic entry recorded.
