id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
NET-001,Network / Internet Error,Wi-Fi connected but no internet,I can't browse the web; Wi-Fi connected but no internet happened after reboot,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",low,Windows 11,Laptop,Network,NetAdapter: Wi-Fi connected but no internet - adapter not found
NET-002,Network / Internet Error,Wi-Fi connected but no internet,Network problem: Wi-Fi connected but no internet and pages won't load,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",high,Windows 10,Laptop,Network,VPN: Wi-Fi connected but no internet - authentication failed
NET-003,Network / Internet Error,Wi-Fi connected but no internet,Troubleshooting shows network errors for Wi-Fi connected but no internet,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",low,Windows 10,Laptop,Network,NetAdapter: Wi-Fi connected but no internet - adapter not found
NET-004,Network / Internet Error,Wi-Fi connected but no internet,"Wi-Fi connected but no internet on my device, others seem to work fine",Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",high,Windows 10,Laptop,Network,VPN: Wi-Fi connected but no internet - authentication failed
NET-005,Network / Internet Error,Wi-Fi connected but no internet,Troubleshooting shows network errors for Wi-Fi connected but no internet,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",low,Windows 11,Desktop,Network,Network: Wi-Fi connected but no internet - DNS timeout error
NET-006,Network / Internet Error,Wi-Fi connected but no internet,Network problem: Wi-Fi connected but no internet and pages won't load,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",high,Windows 11,Desktop,Network,Dhcp: Wi-Fi connected but no internet - DHCP lease failure
NET-007,Network / Internet Error,Wi-Fi connected but no internet,Network problem: Wi-Fi connected but no internet and pages won't load,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",low,Windows 11,Laptop,Network,Network: Wi-Fi connected but no internet - DNS timeout error
NET-008,Network / Internet Error,Wi-Fi connected but no internet,Troubleshooting shows network errors for Wi-Fi connected but no internet,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",low,Windows 11,Desktop,Network,VPN: Wi-Fi connected but no internet - authentication failed
NET-009,Network / Internet Error,Wi-Fi connected but no internet,"After update, Wi-Fi connected but no internet started occurring",Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",low,Windows 11,Laptop,Network,Router: Wi-Fi connected but no internet - gateway unreachable
NET-010,Network / Internet Error,Wi-Fi connected but no internet,I can't browse the web; Wi-Fi connected but no internet happened after reboot,Connected to Wi-Fi but web pages won't load; ping fails to external IP,"Router/ISP issue, DNS problem, or corrupted network stack on device",Restart Wi-Fi on your PC and reboot the router (unplug 10s → plug back in).,Run Windows Network Troubleshooter: Settings → Network & Internet → Troubleshoot.,Flush DNS and renew IP: open admin Command Prompt and run ipconfig /flushdns && ipconfig /release && ipconfig /renew.,"Reset network stack: netsh winsock reset && netsh int ip reset, then restart PC.","If other devices also lack internet, contact ISP; if only your device, check adapter drivers or reinstall adapter.","Network functions normally: webpages load, ping to external IP succeeds, no intermittent drops.",high,Windows 11,Desktop,Network,VPN: Wi-Fi connected but no internet - authentication failed
