id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
PERFV1-0561,Software / Application Performance Issues,Browser slow to open,After recent updates I see 'Browser slow to open'.,"Symptoms: Browser slow to open. Causes slow responsiveness, long waits, high resource usage. Category: Software / Application Performance Issues.","Inefficient application behavior, bugs, or incompatibility causing slow response.",Update the problematic application to the latest version.,Clear the app cache or reset app settings if available.,Reinstall the app if performance issues persist.,Check for known issues or patches from the app vendor.,Limit resource-heavy features or use alternative lighter apps.,System runs responsively under normal use and resource metrics return to acceptable ranges.,medium,Windows 11,Laptop,Browser_slow_to_open,Browser slow to open - Performance metric recorded in system monitoring.
PERFV1-0307,Low RAM / Memory Pressure,Browser memory leak,I notice: Browser memory leak — system responds poorly.,"Symptoms: Browser memory leak. Causes slow responsiveness, long waits, high resource usage. Category: Low RAM / Memory Pressure.",Insufficient physical memory or memory leaks causing paging and slowdowns.,Check memory usage in Task Manager and close memory-hungry apps.,Increase virtual memory (paging file) temporarily if needed.,Restart the system to clear memory leaks and cached data.,"If RAM pressure is frequent, add more RAM modules or close unused apps.",Use lighter browser settings (fewer tabs/extensions) to reduce memory use.,System runs responsively under normal use and resource metrics return to acceptable ranges.,low,Windows 11,Workstation,Browser_memory_leak,Browser memory leak - Performance metric recorded in system monitoring.
PERFV1-0961,Hardware Aging / Limitations,Weak CPU can't handle apps,I notice: Weak CPU can't handle apps — system responds poorly.,"Symptoms: Weak CPU can't handle apps. Causes slow responsiveness, long waits, high resource usage. Category: Hardware Aging / Limitations.","Aging components (HDD, CPU, RAM) no longer meet workload requirements.",Check component benchmarks vs current software requirements.,"Upgrade bottleneck components (SSD, RAM, CPU) where possible.",Reduce graphical or compute settings in resource-heavy applications.,Keep drivers and firmware up to date to improve compatibility.,"If device is old, consider replacing it for better performance.",System runs responsively under normal use and resource metrics return to acceptable ranges.,high,Windows 11,Laptop,Weak_CPU_can't_handle_apps,Weak CPU can't handle apps - Performance metric recorded in system monitoring.
PERFV1-0061,High CPU Usage Problems,Game CPU bottleneck,Game CPU bottleneck — performance is very bad.,"Symptoms: Game CPU bottleneck. Causes slow responsiveness, long waits, high resource usage. Category: High CPU Usage Problems.","High CPU demand by apps/processes, runaway tasks, or insufficient CPU for workload.",Open Task Manager (Ctrl+Shift+Esc) and sort processes by CPU to find the culprit.,End the high-CPU process if it's non-essential and relaunch the app.,Disable unnecessary startup programs (Settings → Apps → Startup).,Run a virus scan to check for malware causing CPU spikes.,"If CPU is frequently maxed, consider upgrading CPU or optimizing workloads.",System runs responsively under normal use and resource metrics return to acceptable ranges.,low,Windows 11,Laptop,Game_CPU_bottleneck,Game CPU bottleneck - Performance metric recorded in system monitoring.
PERFV1-0968,Hardware Aging / Limitations,Insufficient RAM for multitasking,Insufficient RAM for multitasking — performance is very bad.,"Symptoms: Insufficient RAM for multitasking. Causes slow responsiveness, long waits, high resource usage. Category: Hardware Aging / Limitations.","Aging components (HDD, CPU, RAM) no longer meet workload requirements.",Check component benchmarks vs current software requirements.,"Upgrade bottleneck components (SSD, RAM, CPU) where possible.",Reduce graphical or compute settings in resource-heavy applications.,Keep drivers and firmware up to date to improve compatibility.,"If device is old, consider replacing it for better performance.",System runs responsively under normal use and resource metrics return to acceptable ranges.,low,Windows 11,Desktop,Insufficient_RAM_for_multitasking,Insufficient RAM for multitasking - Performance metric recorded in system monitoring.
PERFV1-0280,Low RAM / Memory Pressure,Memory pressure during multitasking,I notice: Memory pressure during multitasking — system responds poorly.,"Symptoms: Memory pressure during multitasking. Causes slow responsiveness, long waits, high resource usage. Category: Low RAM / Memory Pressure.",Insufficient physical memory or memory leaks causing paging and slowdowns.,Check memory usage in Task Manager and close memory-hungry apps.,Increase virtual memory (paging file) temporarily if needed.,Restart the system to clear memory leaks and cached data.,"If RAM pressure is frequent, add more RAM modules or close unused apps.",Use lighter browser settings (fewer tabs/extensions) to reduce memory use.,System runs responsively under normal use and resource metrics return to acceptable ranges.,medium,Windows 11,Laptop,Memory_pressure_during_multitasking,Memory pressure during multitasking - Performance metric recorded in system monitoring.
PERFV1-0444,Background Processes & Too Many Startup Apps,Telemetry services slowing system,After recent updates I see 'Telemetry services slowing system'.,"Symptoms: Telemetry services slowing system. Causes slow responsiveness, long waits, high resource usage. Category: Background Processes & Too Many Startup Apps.","Too many startup apps or background services using CPU, disk, or network resources.",Open Startup settings and disable unnecessary startup apps.,Use Task Manager to identify background services consuming resources and stop them.,Perform a clean boot to isolate which service/app causes slowdown.,Uninstall rarely used programs and disable heavy telemetry services.,"Schedule heavy tasks (backups, updates) for off-hours.",System runs responsively under normal use and resource metrics return to acceptable ranges.,medium,Windows 10,Desktop,Telemetry_services_slowing_system,Telemetry services slowing system - Performance metric recorded in system monitoring.
PERFV1-0917,Hardware Aging / Limitations,Insufficient RAM for multitasking,I notice: Insufficient RAM for multitasking — system responds poorly.,"Symptoms: Insufficient RAM for multitasking. Causes slow responsiveness, long waits, high resource usage. Category: Hardware Aging / Limitations.","Aging components (HDD, CPU, RAM) no longer meet workload requirements.",Check component benchmarks vs current software requirements.,"Upgrade bottleneck components (SSD, RAM, CPU) where possible.",Reduce graphical or compute settings in resource-heavy applications.,Keep drivers and firmware up to date to improve compatibility.,"If device is old, consider replacing it for better performance.",System runs responsively under normal use and resource metrics return to acceptable ranges.,low,Windows 11,Laptop,Insufficient_RAM_for_multitasking,Insufficient RAM for multitasking - Performance metric recorded in system monitoring.
PERFV1-0109,High Disk Usage / Disk Bottleneck,Read/Write throttling,After recent updates I see 'Read/Write throttling'.,"Symptoms: Read/Write throttling. Causes slow responsiveness, long waits, high resource usage. Category: High Disk Usage / Disk Bottleneck.","Background indexing, failing drive, paging, or heavy I/O operations causing disk bottleneck.",Open Task Manager and check disk usage; identify processes with heavy I/O.,Run `chkdsk` and check drive health with SMART tools like CrystalDiskInfo.,Disable Windows Search or Superfetch temporarily to test impact.,Free disk space by deleting large unused files and cleaning temp files.,Consider upgrading to an SSD if using an old HDD.,System runs responsively under normal use and resource metrics return to acceptable ranges.,low,Windows 10,Laptop,Read_Write_throttling,Read/Write throttling - Performance metric recorded in system monitoring.
PERFV1-0550,Software / Application Performance Issues,Game FPS drops,Game FPS drops — performance is very bad.,"Symptoms: Game FPS drops. Causes slow responsiveness, long waits, high resource usage. Category: Software / Application Performance Issues.","Inefficient application behavior, bugs, or incompatibility causing slow response.",Update the problematic application to the latest version.,Clear the app cache or reset app settings if available.,Reinstall the app if performance issues persist.,Check for known issues or patches from the app vendor.,Limit resource-heavy features or use alternative lighter apps.,System runs responsively under normal use and resource metrics return to acceptable ranges.,medium,Windows 10,Workstation,Game_FPS_drops,Game FPS drops - Performance metric recorded in system monitoring.
PERFV1-0171,High Disk Usage / Disk Bottleneck,Windows Search high disk use,Windows Search high disk use happens when I run multiple apps.,"Symptoms: Windows Search high disk use. Causes slow responsiveness, long waits, high resource usage. Category: High Disk Usage / Disk Bottleneck.","Background indexing, failing drive, paging, or heavy I/O operations causing disk bottleneck.",Open Task Manager and check disk usage; identify processes with heavy I/O.,Run `chkdsk` and check drive health with SMART tools like CrystalDiskInfo.,Disable Windows Search or Superfetch temporarily to test impact.,Free disk space by deleting large unused files and cleaning temp files.,Consider upgrading to an SSD if using an old HDD.,System runs responsively under normal use and resource metrics return to acceptable ranges.,medium,Windows 11,Desktop,Windows_Search_high_disk_use,Windows Search high disk use - Performance metric recorded in system monitoring.
