id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
PERF-001,Performance / Slow PC Issue,High CPU usage,I see High CPU usage and apps take long to open,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 11,Laptop,Performance,Disk: High CPU usage - Windows reports 100% disk activity
PERF-002,Performance / Slow PC Issue,High CPU usage,Performance problem: High CPU usage noticed after update,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,high,Windows 10,Laptop,Performance,GPU: High CPU usage - GPU clock throttled due to temperature
PERF-003,Performance / Slow PC Issue,High CPU usage,High CPU usage and system becomes unresponsive at times,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 10,Laptop,Performance,Disk: High CPU usage - Windows reports 100% disk activity
PERF-004,Performance / Slow PC Issue,High CPU usage,High CPU usage leads to stutter and freeze during tasks,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,high,Windows 10,Laptop,Performance,GPU: High CPU usage - GPU clock throttled due to temperature
PERF-005,Performance / Slow PC Issue,High CPU usage,High CPU usage and system becomes unresponsive at times,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 11,Desktop,Performance,Perf: High CPU usage - Process 'SearchIndexer' at 90% CPU
PERF-006,Performance / Slow PC Issue,High CPU usage,Performance problem: High CPU usage noticed after update,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,high,Windows 11,Desktop,Performance,Thermal: High CPU usage - CPU temp spikes to 95C
PERF-007,Performance / Slow PC Issue,High CPU usage,Performance problem: High CPU usage noticed after update,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 11,Laptop,Performance,Perf: High CPU usage - Process 'SearchIndexer' at 90% CPU
PERF-008,Performance / Slow PC Issue,High CPU usage,High CPU usage and system becomes unresponsive at times,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 11,Desktop,Performance,GPU: High CPU usage - GPU clock throttled due to temperature
PERF-009,Performance / Slow PC Issue,High CPU usage,High CPU usage during gaming or video playback,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 11,Laptop,Performance,"Memory: High CPU usage - Commit charge high, paging to disk"
PERF-010,Performance / Slow PC Issue,High CPU usage,I see High CPU usage and apps take long to open,"High CPU percentages, system slow, fans loud","Runaway process, background task or malware causing CPU spike",Open Task Manager (Ctrl+Shift+Esc) and sort by CPU to find the top process; end it if safe.,Restart the PC to clear any stuck process.,Disable heavy startup apps: Task Manager → Startup → Disable high-impact apps.,Scan for malware with Windows Security or a trusted scanner.,"If persistent, update drivers and consider a clean boot to isolate the app.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,high,Windows 11,Desktop,Performance,GPU: High CPU usage - GPU clock throttled due to temperature
PERF-011,Performance / Slow PC Issue,Disk 100% usage,Disk 100% usage leads to stutter and freeze during tasks,"Disk shows 100% active time, slow app response, high read/write","Background services, Windows Search, SuperFetch/Storage issues, or failing HDD",Open Task Manager and identify processes causing disk usage; pause or end non-essential ones.,Disable Windows Search and Superfetch (SysMain) temporarily: services.msc → stop service.,Run chkdsk C: /f /r to check for disk errors and bad sectors.,Check for firmware updates for SSD/HDD and update drivers.,"If HDD is old, consider upgrading to an SSD for better performance.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,high,Windows 10,Laptop,Performance,Disk: Disk 100% usage - Windows reports 100% disk activity
PERF-012,Performance / Slow PC Issue,Disk 100% usage,Disk 100% usage during gaming or video playback,"Disk shows 100% active time, slow app response, high read/write","Background services, Windows Search, SuperFetch/Storage issues, or failing HDD",Open Task Manager and identify processes causing disk usage; pause or end non-essential ones.,Disable Windows Search and Superfetch (SysMain) temporarily: services.msc → stop service.,Run chkdsk C: /f /r to check for disk errors and bad sectors.,Check for firmware updates for SSD/HDD and update drivers.,"If HDD is old, consider upgrading to an SSD for better performance.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,low,Windows 10,Laptop,Performance,"Memory: Disk 100% usage - Commit charge high, paging to disk"
PERF-013,Performance / Slow PC Issue,Disk 100% usage,Disk 100% usage during gaming or video playback,"Disk shows 100% active time, slow app response, high read/write","Background services, Windows Search, SuperFetch/Storage issues, or failing HDD",Open Task Manager and identify processes causing disk usage; pause or end non-essential ones.,Disable Windows Search and Superfetch (SysMain) temporarily: services.msc → stop service.,Run chkdsk C: /f /r to check for disk errors and bad sectors.,Check for firmware updates for SSD/HDD and update drivers.,"If HDD is old, consider upgrading to an SSD for better performance.",System responsiveness improved; CPU/RAM/disk usage within normal ranges and no long delays.,medium,Windows 11,Laptop,Performance,Thermal: Disk 100% usage - CPU temp spikes to 95C
