id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
SECURITYV1-0965,Protected System File Errors,SFC/DISM integrity block,I keep seeing: SFC/DISM integrity block when I try to open files.,"Symptoms: SFC/DISM integrity block. Operation blocked, prompts appear or services disabled. Category: Protected System File Errors.",OS protection prevents modification of critical system files to maintain integrity.,Run `sfc /scannow` and `DISM /Online /Cleanup-Image /RestoreHealth` to repair protected files.,"If SFC reports protected file issues, review CBS logs and take corrective action.",Use an elevated command prompt and take ownership only when necessary.,Avoid disabling system protection permanently; use recovery tools to fix files.,"If required, perform an in-place upgrade repair or clean install after backing up data.",Issue resolved and security services working; no access or permission errors observed.,low,Windows 11,Desktop,SFC_DISM_integrity_block,SFC/DISM integrity block - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0115,Permission & Access Control Errors,Access denied,My PC reports: Access denied — need help.,"Symptoms: Access denied. Operation blocked, prompts appear or services disabled. Category: Permission & Access Control Errors.","Incorrect NTFS ACLs, ownership mismatch, or file locked by system/service.",Right-click the file/folder → Properties → Security → Advanced → check Owner.,"If needed, change owner to your account and apply to child objects.",Grant Full Control permissions to your account and apply changes.,"If file is in use, close apps or use Safe Mode to modify permissions.","Use `icacls` to reset permissions: `icacls ""path"" /reset /t` in elevated CMD.",Issue resolved and security services working; no access or permission errors observed.,medium,Windows 10,Laptop,Access_denied,Access denied - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0060,Permission & Access Control Errors,File permission restricted,Problem: File permission restricted — can't proceed.,"Symptoms: File permission restricted. Operation blocked, prompts appear or services disabled. Category: Permission & Access Control Errors.","Incorrect NTFS ACLs, ownership mismatch, or file locked by system/service.",Right-click the file/folder → Properties → Security → Advanced → check Owner.,"If needed, change owner to your account and apply to child objects.",Grant Full Control permissions to your account and apply changes.,"If file is in use, close apps or use Safe Mode to modify permissions.","Use `icacls` to reset permissions: `icacls ""path"" /reset /t` in elevated CMD.",Issue resolved and security services working; no access or permission errors observed.,medium,Windows 11,Laptop,File_permission_restricted,File permission restricted - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0169,UAC (User Account Control) Restrictions,UAC prompts not appearing,My PC reports: UAC prompts not appearing — need help.,"Symptoms: UAC prompts not appearing. Operation blocked, prompts appear or services disabled. Category: UAC (User Account Control) Restrictions.",User Account Control blocking elevated actions due to security settings or corrupt UAC configuration.,Run the installer or app as administrator by right-click → Run as administrator.,Check UAC slider settings in Control Panel → User Accounts and ensure prompts are enabled.,"If UAC prompts not appearing, restart the Windows Explorer process or reboot.",Temporarily disable overly restrictive security policies only if safe to do so.,Re-enable UAC after completing the task to maintain system security.,Issue resolved and security services working; no access or permission errors observed.,low,Windows 11,Workstation,UAC_prompts_not_appearing,UAC prompts not appearing - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0508,Malware & Virus Interference,Malware consuming resources,I keep seeing: Malware consuming resources when I try to open files.,"Symptoms: Malware consuming resources. Operation blocked, prompts appear or services disabled. Category: Malware & Virus Interference.","Malicious software altering system behavior, injecting processes, or hijacking browsers.",Disconnect from the internet to limit further malicious activity.,Boot into Safe Mode and run a full scan with a reputable antivirus and anti-malware tool.,"Use on-demand scanners (Malwarebytes, ESET Online Scanner) to clean infections.",Restore system to a clean restore point if available after removing malware.,"If infection is severe, backup data and perform a clean OS reinstall.",Issue resolved and security services working; no access or permission errors observed.,medium,Windows 11,Workstation,Malware_consuming_resources,Malware consuming resources - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0008,Permission & Access Control Errors,Access denied,Problem: Access denied — can't proceed.,"Symptoms: Access denied. Operation blocked, prompts appear or services disabled. Category: Permission & Access Control Errors.","Incorrect NTFS ACLs, ownership mismatch, or file locked by system/service.",Right-click the file/folder → Properties → Security → Advanced → check Owner.,"If needed, change owner to your account and apply to child objects.",Grant Full Control permissions to your account and apply changes.,"If file is in use, close apps or use Safe Mode to modify permissions.","Use `icacls` to reset permissions: `icacls ""path"" /reset /t` in elevated CMD.",Issue resolved and security services working; no access or permission errors observed.,medium,Windows 11,Laptop,Access_denied,Access denied - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0149,UAC (User Account Control) Restrictions,UAC prompts not appearing,Problem: UAC prompts not appearing — can't proceed.,"Symptoms: UAC prompts not appearing. Operation blocked, prompts appear or services disabled. Category: UAC (User Account Control) Restrictions.",User Account Control blocking elevated actions due to security settings or corrupt UAC configuration.,Run the installer or app as administrator by right-click → Run as administrator.,Check UAC slider settings in Control Panel → User Accounts and ensure prompts are enabled.,"If UAC prompts not appearing, restart the Windows Explorer process or reboot.",Temporarily disable overly restrictive security policies only if safe to do so.,Re-enable UAC after completing the task to maintain system security.,Issue resolved and security services working; no access or permission errors observed.,medium,Windows 10,Desktop,UAC_prompts_not_appearing,UAC prompts not appearing - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0860,Security Policy / Group Policy Restrictions,Executable blocked by policy,Problem: Executable blocked by policy — can't proceed.,"Symptoms: Executable blocked by policy. Operation blocked, prompts appear or services disabled. Category: Security Policy / Group Policy Restrictions.",Group policy or local security policy prevents certain actions or executable runs.,Open Local Group Policy Editor (gpedit.msc) and review policies blocking execution.,"If managed by domain, contact your system administrator to adjust necessary policies.",Use the Resultant Set of Policy (rsop.msc) to review effective policies.,"For script execution, enable appropriate PowerShell execution policy if safe.",Document policy changes and revert them after troubleshooting if required.,Issue resolved and security services working; no access or permission errors observed.,medium,Windows 11,Workstation,Executable_blocked_by_policy,Executable blocked by policy - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0408,Malware & Virus Interference,Malware consuming resources,I keep seeing: Malware consuming resources when I try to open files.,"Symptoms: Malware consuming resources. Operation blocked, prompts appear or services disabled. Category: Malware & Virus Interference.","Malicious software altering system behavior, injecting processes, or hijacking browsers.",Disconnect from the internet to limit further malicious activity.,Boot into Safe Mode and run a full scan with a reputable antivirus and anti-malware tool.,"Use on-demand scanners (Malwarebytes, ESET Online Scanner) to clean infections.",Restore system to a clean restore point if available after removing malware.,"If infection is severe, backup data and perform a clean OS reinstall.",Issue resolved and security services working; no access or permission errors observed.,low,Windows 10,Desktop,Malware_consuming_resources,Malware consuming resources - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0484,Malware & Virus Interference,Malware consuming resources,Malware consuming resources appears and blocks my task.,"Symptoms: Malware consuming resources. Operation blocked, prompts appear or services disabled. Category: Malware & Virus Interference.","Malicious software altering system behavior, injecting processes, or hijacking browsers.",Disconnect from the internet to limit further malicious activity.,Boot into Safe Mode and run a full scan with a reputable antivirus and anti-malware tool.,"Use on-demand scanners (Malwarebytes, ESET Online Scanner) to clean infections.",Restore system to a clean restore point if available after removing malware.,"If infection is severe, backup data and perform a clean OS reinstall.",Issue resolved and security services working; no access or permission errors observed.,low,Windows 10,Laptop,Malware_consuming_resources,Malware consuming resources - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0354,Antivirus / Firewall Blocking Issues,Antivirus blocking app,Antivirus blocking app appears and blocks my task.,"Symptoms: Antivirus blocking app. Operation blocked, prompts appear or services disabled. Category: Antivirus / Firewall Blocking Issues.",Security software quarantined or blocked applications; firewall rules blocking traffic.,Open your antivirus/quarantine panel and check if the app is blocked or quarantined.,Temporarily allow the app or add it to exclusions if you trust the source.,Check firewall rules and allow required network access for the app.,Run a full antivirus scan to ensure no other threats are present.,"If unsure, consult vendor support before disabling protections.",Issue resolved and security services working; no access or permission errors observed.,high,Windows 10,Desktop,Antivirus_blocking_app,Antivirus blocking app - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0515,Malware & Virus Interference,Browser hijacker,Problem: Browser hijacker — can't proceed.,"Symptoms: Browser hijacker. Operation blocked, prompts appear or services disabled. Category: Malware & Virus Interference.","Malicious software altering system behavior, injecting processes, or hijacking browsers.",Disconnect from the internet to limit further malicious activity.,Boot into Safe Mode and run a full scan with a reputable antivirus and anti-malware tool.,"Use on-demand scanners (Malwarebytes, ESET Online Scanner) to clean infections.",Restore system to a clean restore point if available after removing malware.,"If infection is severe, backup data and perform a clean OS reinstall.",Issue resolved and security services working; no access or permission errors observed.,low,Windows 11,Desktop,Browser_hijacker,Browser hijacker - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0414,Malware & Virus Interference,System unstable due to infection,My PC reports: System unstable due to infection — need help.,"Symptoms: System unstable due to infection. Operation blocked, prompts appear or services disabled. Category: Malware & Virus Interference.","Malicious software altering system behavior, injecting processes, or hijacking browsers.",Disconnect from the internet to limit further malicious activity.,Boot into Safe Mode and run a full scan with a reputable antivirus and anti-malware tool.,"Use on-demand scanners (Malwarebytes, ESET Online Scanner) to clean infections.",Restore system to a clean restore point if available after removing malware.,"If infection is severe, backup data and perform a clean OS reinstall.",Issue resolved and security services working; no access or permission errors observed.,low,Windows 11,Desktop,System_unstable_due_to_infection,System unstable due to infection - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0455,Malware & Virus Interference,Browser hijacker,Browser hijacker appears and blocks my task.,"Symptoms: Browser hijacker. Operation blocked, prompts appear or services disabled. Category: Malware & Virus Interference.","Malicious software altering system behavior, injecting processes, or hijacking browsers.",Disconnect from the internet to limit further malicious activity.,Boot into Safe Mode and run a full scan with a reputable antivirus and anti-malware tool.,"Use on-demand scanners (Malwarebytes, ESET Online Scanner) to clean infections.",Restore system to a clean restore point if available after removing malware.,"If infection is severe, backup data and perform a clean OS reinstall.",Issue resolved and security services working; no access or permission errors observed.,high,Windows 11,Desktop,Browser_hijacker,Browser hijacker - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0857,Security Policy / Group Policy Restrictions,Action restricted by system admin,Action restricted by system admin appears and blocks my task.,"Symptoms: Action restricted by system admin. Operation blocked, prompts appear or services disabled. Category: Security Policy / Group Policy Restrictions.",Group policy or local security policy prevents certain actions or executable runs.,Open Local Group Policy Editor (gpedit.msc) and review policies blocking execution.,"If managed by domain, contact your system administrator to adjust necessary policies.",Use the Resultant Set of Policy (rsop.msc) to review effective policies.,"For script execution, enable appropriate PowerShell execution policy if safe.",Document policy changes and revert them after troubleshooting if required.,Issue resolved and security services working; no access or permission errors observed.,medium,Windows 10,Workstation,Action_restricted_by_system_admin,Action restricted by system admin - Security event logged in Windows Security / Event Viewer.
SECURITYV1-0576,Windows Defender Errors,Tamper protection blocked,I keep seeing: Tamper protection blocked when I try to open files.,"Symptoms: Tamper protection blocked. Operation blocked, prompts appear or services disabled. Category: Windows Defender Errors.","Windows Defender services disabled, corrupt definitions, or tamper protection enabled by policy.",Open Windows Security and check Virus & threat protection status.,"If Defender services are stopped, start them via Services.msc and set to Automatic.",Check Tamper Protection settings and disable only if necessary for troubleshooting.,Update virus definitions and run a quick scan to verify protection.,"If Defender fails, use Microsoft Safety Scanner or reinstall via optional features.",Issue resolved and security services working; no access or permission errors observed.,high,Windows 10,Desktop,Tamper_protection_blocked,Tamper protection blocked - Security event logged in Windows Security / Event Viewer.
