id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
DISKV1-0735,Disk Read/Write Failure,Disk freezing during large copies,Disk freezing during large copies appears and files are not accessible.,"Symptoms: Disk freezing during large copies. Drive inaccessible, read/write errors, or system warnings. Category: Disk Read/Write Failure.","I/O errors due to failing drive, controller errors, or cable faults.",Attempt a file copy of small files to test read/write functionality.,Run `chkdsk` and SMART tests to identify I/O errors and bad sectors.,Check cables and ports for physical damage or loose connections.,Try using a different SATA/USB adapter or enclosure to rule out controller faults.,"If unrecoverable, seek professional data recovery services.",Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 11,Desktop,Disk_freezing_during_large_copies,Disk freezing during large copies - Storage diagnostic or SMART event logged.
DISKV1-0413,Boot Sector / MBR / GPT Errors,GPT partition corrupted,After a crash I now see: GPT partition corrupted on my drive.,"Symptoms: GPT partition corrupted. Drive inaccessible, read/write errors, or system warnings. Category: Boot Sector / MBR / GPT Errors.",Damaged MBR/GPT or boot record preventing OS from finding boot files.,Boot from Windows installation media and choose Repair → Command Prompt.,"Run: `bootrec /fixmbr`, `bootrec /fixboot`, `bootrec /scanos`, `bootrec /rebuildbcd`.","If EFI partition is damaged, repair using `diskpart` and recreate the EFI partition as needed.",Verify BIOS/UEFI boot mode matches the partition table (MBR vs GPT).,"If boot records cannot be restored, reinstall Windows after backing up data.",Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,External Drive,GPT_partition_corrupted,GPT partition corrupted - Storage diagnostic or SMART event logged.
DISKV1-0109,File System Corruption Errors,FAT_FILE_SYSTEM,FAT_FILE_SYSTEM appears and files are not accessible.,"Symptoms: FAT_FILE_SYSTEM. Drive inaccessible, read/write errors, or system warnings. Category: File System Corruption Errors.","Corrupted file system due to unsafe ejects, power loss, or disk errors.",Do not format immediately. Try safely reconnecting the drive to the PC.,Run Command Prompt as admin and use: `chkdsk X: /f /r` (replace X: with drive letter).,"If CHKDSK cannot run, use data recovery tools (TestDisk, Recuva) to recover files first.","After recovering data, reformat the drive and run full disk checks.",Replace the drive if repeated corruption occurs; maintain regular backups.,Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 10,Laptop,FAT_FILE_SYSTEM,FAT_FILE_SYSTEM - Storage diagnostic or SMART event logged.
DISKV1-0951,Disk Full / Low Storage Issues,System restore failing due to no space,After a crash I now see: System restore failing due to no space on my drive.,"Symptoms: System restore failing due to no space. Drive inaccessible, read/write errors, or system warnings. Category: Disk Full / Low Storage Issues.",Insufficient free space causing system and application failures.,Free up space by removing large unused files and emptying Recycle Bin.,Use Disk Cleanup and Storage Sense to remove temp and system files.,Move large media files to external storage to free C: space.,Uninstall unnecessary programs and clean application caches.,Consider upgrading to a larger drive or adding a secondary disk.,Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,Laptop,System_restore_failing_due_to_no_space,System restore failing due to no space - Storage diagnostic or SMART event logged.
DISKV1-0944,Disk Full / Low Storage Issues,System restore failing due to no space,System restore failing due to no space appears and files are not accessible.,"Symptoms: System restore failing due to no space. Drive inaccessible, read/write errors, or system warnings. Category: Disk Full / Low Storage Issues.",Insufficient free space causing system and application failures.,Free up space by removing large unused files and emptying Recycle Bin.,Use Disk Cleanup and Storage Sense to remove temp and system files.,Move large media files to external storage to free C: space.,Uninstall unnecessary programs and clean application caches.,Consider upgrading to a larger drive or adding a secondary disk.,Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 11,External Drive,System_restore_failing_due_to_no_space,System restore failing due to no space - Storage diagnostic or SMART event logged.
DISKV1-0124,Bad Sectors / Physical Disk Damage,Read errors / write errors,Read errors / write errors — when I try to open the drive it fails.,"Symptoms: Read errors / write errors. Drive inaccessible, read/write errors, or system warnings. Category: Bad Sectors / Physical Disk Damage.",Physical damage to disk sectors or NAND cell wear causing read/write failures.,Backup any accessible data immediately to another drive.,Run SMART diagnostic tools (CrystalDiskInfo) to check reallocated/pending sectors.,Attempt `chkdsk /r` to remap bad sectors and recover readable data.,"If sector count increases, plan to replace the drive as failure is imminent.",Use vendor utilities for SSD/HDD to run deeper firmware checks and diagnostics.,Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 10,Laptop,Read_errors___write_errors,Read errors / write errors - Storage diagnostic or SMART event logged.
DISKV1-0514,CHKDSK Errors,CHKDSK cannot continue in read-only mode,CHKDSK cannot continue in read-only mode — when I try to open the drive it fails.,"Symptoms: CHKDSK cannot continue in read-only mode. Drive inaccessible, read/write errors, or system warnings. Category: CHKDSK Errors.",CHKDSK encountering deeper disk corruption or hardware issues preventing repairs.,Allow CHKDSK to complete; do not interrupt it while repairing.,"If CHKDSK fails, note the stage and error and try running in WinPE environment.",Run SMART checks to determine if hardware is failing prior to further repairs.,"Use specialized recovery tools (TestDisk, PhotoRec) if CHKDSK cannot repair files.",Replace failing drives and restore data from backups when necessary.,Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,Laptop,CHKDSK_cannot_continue_in_read-only_mode,CHKDSK cannot continue in read-only mode - Storage diagnostic or SMART event logged.
DISKV1-0020,File System Corruption Errors,File record segment unreadable,My system logs show: File record segment unreadable — how do I recover files?,"Symptoms: File record segment unreadable. Drive inaccessible, read/write errors, or system warnings. Category: File System Corruption Errors.","Corrupted file system due to unsafe ejects, power loss, or disk errors.",Do not format immediately. Try safely reconnecting the drive to the PC.,Run Command Prompt as admin and use: `chkdsk X: /f /r` (replace X: with drive letter).,"If CHKDSK cannot run, use data recovery tools (TestDisk, Recuva) to recover files first.","After recovering data, reformat the drive and run full disk checks.",Replace the drive if repeated corruption occurs; maintain regular backups.,Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,External Drive,File_record_segment_unreadable,File record segment unreadable - Storage diagnostic or SMART event logged.
DISKV1-0345,Partition Table & Volume Errors,Lost/Deleted partition,Lost/Deleted partition appears and files are not accessible.,"Symptoms: Lost/Deleted partition. Drive inaccessible, read/write errors, or system warnings. Category: Partition Table & Volume Errors.",Partition table corruption or accidental deletion leading to inaccessible volumes.,Open Disk Management to check partition status and flags.,"If partition is missing, use TestDisk to attempt partition table recovery.",Avoid writing to the disk until recovery completes to prevent overwriting data.,"If recovery fails, consider a professional data recovery service.","After recovery, repartition and format the drive and restore data from backup.",Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,External Drive,Lost_Deleted_partition,Lost/Deleted partition - Storage diagnostic or SMART event logged.
DISKV1-0102,File System Corruption Errors,File record segment unreadable,I get: File record segment unreadable and Windows asks me to format the disk.,"Symptoms: File record segment unreadable. Drive inaccessible, read/write errors, or system warnings. Category: File System Corruption Errors.","Corrupted file system due to unsafe ejects, power loss, or disk errors.",Do not format immediately. Try safely reconnecting the drive to the PC.,Run Command Prompt as admin and use: `chkdsk X: /f /r` (replace X: with drive letter).,"If CHKDSK cannot run, use data recovery tools (TestDisk, Recuva) to recover files first.","After recovering data, reformat the drive and run full disk checks.",Replace the drive if repeated corruption occurs; maintain regular backups.,Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 11,Desktop,File_record_segment_unreadable,File record segment unreadable - Storage diagnostic or SMART event logged.
DISKV1-0211,Bad Sectors / Physical Disk Damage,SMART status: FAILING,After a crash I now see: SMART status: FAILING on my drive.,"Symptoms: SMART status: FAILING. Drive inaccessible, read/write errors, or system warnings. Category: Bad Sectors / Physical Disk Damage.",Physical damage to disk sectors or NAND cell wear causing read/write failures.,Backup any accessible data immediately to another drive.,Run SMART diagnostic tools (CrystalDiskInfo) to check reallocated/pending sectors.,Attempt `chkdsk /r` to remap bad sectors and recover readable data.,"If sector count increases, plan to replace the drive as failure is imminent.",Use vendor utilities for SSD/HDD to run deeper firmware checks and diagnostics.,Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 10,External Drive,SMART_status_FAILING,SMART status: FAILING - Storage diagnostic or SMART event logged.
DISKV1-0848,Storage Driver / Firmware Errors,AHCI driver crash,My system logs show: AHCI driver crash — how do I recover files?,"Symptoms: AHCI driver crash. Drive inaccessible, read/write errors, or system warnings. Category: Storage Driver / Firmware Errors.",Storage controller driver or firmware malfunction causing access errors.,Update storage controller drivers from the motherboard or vendor website.,Check for firmware updates for NVMe/SSD from the drive manufacturer.,"If using RAID, ensure the RAID controller firmware and drivers are current.",Roll back recent driver updates if issues started after an update.,Test the drive on another system to isolate driver vs hardware issues.,Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 11,External Drive,AHCI_driver_crash,AHCI driver crash - Storage diagnostic or SMART event logged.
DISKV1-0239,Bad Sectors / Physical Disk Damage,Slow disk response due to damaged areas,After a crash I now see: Slow disk response due to damaged areas on my drive.,"Symptoms: Slow disk response due to damaged areas. Drive inaccessible, read/write errors, or system warnings. Category: Bad Sectors / Physical Disk Damage.",Physical damage to disk sectors or NAND cell wear causing read/write failures.,Backup any accessible data immediately to another drive.,Run SMART diagnostic tools (CrystalDiskInfo) to check reallocated/pending sectors.,Attempt `chkdsk /r` to remap bad sectors and recover readable data.,"If sector count increases, plan to replace the drive as failure is imminent.",Use vendor utilities for SSD/HDD to run deeper firmware checks and diagnostics.,Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 11,External Drive,Slow_disk_response_due_to_damaged_areas,Slow disk response due to damaged areas - Storage diagnostic or SMART event logged.
DISKV1-0887,External Drive & USB Storage Errors,External drive not mounting,After a crash I now see: External drive not mounting on my drive.,"Symptoms: External drive not mounting. Drive inaccessible, read/write errors, or system warnings. Category: External Drive & USB Storage Errors.","Power or cable issues, faulty enclosure, or USB controller problems.",Try a different USB cable and port; prefer a powered USB port or hub.,Use a different enclosure/adapter to rule out faulty controller board.,Check whether the external drive gets power (LEDs/spinning sounds).,Safely eject and reconnect the drive; avoid force formatting.,"If drive prompts format, use recovery tools to extract data before formatting.",Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 10,Desktop,External_drive_not_mounting,External drive not mounting - Storage diagnostic or SMART event logged.
DISKV1-0729,Disk Read/Write Failure,I/O device error,I/O device error — when I try to open the drive it fails.,"Symptoms: I/O device error. Drive inaccessible, read/write errors, or system warnings. Category: Disk Read/Write Failure.","I/O errors due to failing drive, controller errors, or cable faults.",Attempt a file copy of small files to test read/write functionality.,Run `chkdsk` and SMART tests to identify I/O errors and bad sectors.,Check cables and ports for physical damage or loose connections.,Try using a different SATA/USB adapter or enclosure to rule out controller faults.,"If unrecoverable, seek professional data recovery services.",Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 11,Desktop,I_O_device_error,I/O device error - Storage diagnostic or SMART event logged.
DISKV1-0606,Disk Not Detected Errors,M.2 NVMe not detected,After a crash I now see: M.2 NVMe not detected on my drive.,"Symptoms: M.2 NVMe not detected. Drive inaccessible, read/write errors, or system warnings. Category: Disk Not Detected Errors.","Loose cables, failed connectors, or controller issues preventing detection.",Power off and reseat SATA/M.2/USB cables and connectors.,Try connecting the drive to another port or PC to confirm detection.,Check BIOS/UEFI to see if drive appears at firmware level.,Update motherboard BIOS and storage controller drivers if applicable.,"If not detected on multiple systems, the drive may be dead and require replacement.",Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 10,Laptop,M2_NVMe_not_detected,M.2 NVMe not detected - Storage diagnostic or SMART event logged.
DISKV1-0907,External Drive & USB Storage Errors,Power insufficient for external drive,After a crash I now see: Power insufficient for external drive on my drive.,"Symptoms: Power insufficient for external drive. Drive inaccessible, read/write errors, or system warnings. Category: External Drive & USB Storage Errors.","Power or cable issues, faulty enclosure, or USB controller problems.",Try a different USB cable and port; prefer a powered USB port or hub.,Use a different enclosure/adapter to rule out faulty controller board.,Check whether the external drive gets power (LEDs/spinning sounds).,Safely eject and reconnect the drive; avoid force formatting.,"If drive prompts format, use recovery tools to extract data before formatting.",Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 11,Laptop,Power_insufficient_for_external_drive,Power insufficient for external drive - Storage diagnostic or SMART event logged.
DISKV1-0743,Disk Read/Write Failure,Disk freezing during large copies,After a crash I now see: Disk freezing during large copies on my drive.,"Symptoms: Disk freezing during large copies. Drive inaccessible, read/write errors, or system warnings. Category: Disk Read/Write Failure.","I/O errors due to failing drive, controller errors, or cable faults.",Attempt a file copy of small files to test read/write functionality.,Run `chkdsk` and SMART tests to identify I/O errors and bad sectors.,Check cables and ports for physical damage or loose connections.,Try using a different SATA/USB adapter or enclosure to rule out controller faults.,"If unrecoverable, seek professional data recovery services.",Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,Desktop,Disk_freezing_during_large_copies,Disk freezing during large copies - Storage diagnostic or SMART event logged.
DISKV1-0293,Partition Table & Volume Errors,Invalid partition table,Invalid partition table appears and files are not accessible.,"Symptoms: Invalid partition table. Drive inaccessible, read/write errors, or system warnings. Category: Partition Table & Volume Errors.",Partition table corruption or accidental deletion leading to inaccessible volumes.,Open Disk Management to check partition status and flags.,"If partition is missing, use TestDisk to attempt partition table recovery.",Avoid writing to the disk until recovery completes to prevent overwriting data.,"If recovery fails, consider a professional data recovery service.","After recovery, repartition and format the drive and restore data from backup.",Drive becomes accessible or data recovered; no further read/write errors reported.,low,Windows 11,External Drive,Invalid_partition_table,Invalid partition table - Storage diagnostic or SMART event logged.
DISKV1-0605,Disk Not Detected Errors,M.2 NVMe not detected,I get: M.2 NVMe not detected and Windows asks me to format the disk.,"Symptoms: M.2 NVMe not detected. Drive inaccessible, read/write errors, or system warnings. Category: Disk Not Detected Errors.","Loose cables, failed connectors, or controller issues preventing detection.",Power off and reseat SATA/M.2/USB cables and connectors.,Try connecting the drive to another port or PC to confirm detection.,Check BIOS/UEFI to see if drive appears at firmware level.,Update motherboard BIOS and storage controller drivers if applicable.,"If not detected on multiple systems, the drive may be dead and require replacement.",Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 10,External Drive,M2_NVMe_not_detected,M.2 NVMe not detected - Storage diagnostic or SMART event logged.
DISKV1-0549,CHKDSK Errors,CHKDSK failed to repair,After a crash I now see: CHKDSK failed to repair on my drive.,"Symptoms: CHKDSK failed to repair. Drive inaccessible, read/write errors, or system warnings. Category: CHKDSK Errors.",CHKDSK encountering deeper disk corruption or hardware issues preventing repairs.,Allow CHKDSK to complete; do not interrupt it while repairing.,"If CHKDSK fails, note the stage and error and try running in WinPE environment.",Run SMART checks to determine if hardware is failing prior to further repairs.,"Use specialized recovery tools (TestDisk, PhotoRec) if CHKDSK cannot repair files.",Replace failing drives and restore data from backups when necessary.,Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 10,Desktop,CHKDSK_failed_to_repair,CHKDSK failed to repair - Storage diagnostic or SMART event logged.
DISKV1-0495,CHKDSK Errors,Stage 1/2/3 errors,Stage 1/2/3 errors appears and files are not accessible.,"Symptoms: Stage 1/2/3 errors. Drive inaccessible, read/write errors, or system warnings. Category: CHKDSK Errors.",CHKDSK encountering deeper disk corruption or hardware issues preventing repairs.,Allow CHKDSK to complete; do not interrupt it while repairing.,"If CHKDSK fails, note the stage and error and try running in WinPE environment.",Run SMART checks to determine if hardware is failing prior to further repairs.,"Use specialized recovery tools (TestDisk, PhotoRec) if CHKDSK cannot repair files.",Replace failing drives and restore data from backups when necessary.,Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 11,Laptop,Stage_1_2_3_errors,Stage 1/2/3 errors - Storage diagnostic or SMART event logged.
DISKV1-0550,CHKDSK Errors,CHKDSK cannot continue in read-only mode,My system logs show: CHKDSK cannot continue in read-only mode — how do I recover files?,"Symptoms: CHKDSK cannot continue in read-only mode. Drive inaccessible, read/write errors, or system warnings. Category: CHKDSK Errors.",CHKDSK encountering deeper disk corruption or hardware issues preventing repairs.,Allow CHKDSK to complete; do not interrupt it while repairing.,"If CHKDSK fails, note the stage and error and try running in WinPE environment.",Run SMART checks to determine if hardware is failing prior to further repairs.,"Use specialized recovery tools (TestDisk, PhotoRec) if CHKDSK cannot repair files.",Replace failing drives and restore data from backups when necessary.,Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 10,External Drive,CHKDSK_cannot_continue_in_read-only_mode,CHKDSK cannot continue in read-only mode - Storage diagnostic or SMART event logged.
DISKV1-0359,Boot Sector / MBR / GPT Errors,MBR corrupted,MBR corrupted appears and files are not accessible.,"Symptoms: MBR corrupted. Drive inaccessible, read/write errors, or system warnings. Category: Boot Sector / MBR / GPT Errors.",Damaged MBR/GPT or boot record preventing OS from finding boot files.,Boot from Windows installation media and choose Repair → Command Prompt.,"Run: `bootrec /fixmbr`, `bootrec /fixboot`, `bootrec /scanos`, `bootrec /rebuildbcd`.","If EFI partition is damaged, repair using `diskpart` and recreate the EFI partition as needed.",Verify BIOS/UEFI boot mode matches the partition table (MBR vs GPT).,"If boot records cannot be restored, reinstall Windows after backing up data.",Drive becomes accessible or data recovered; no further read/write errors reported.,medium,Windows 11,Desktop,MBR_corrupted,MBR corrupted - Storage diagnostic or SMART event logged.
DISKV1-0660,Disk Not Detected Errors,Drive not showing in Windows,My system logs show: Drive not showing in Windows — how do I recover files?,"Symptoms: Drive not showing in Windows. Drive inaccessible, read/write errors, or system warnings. Category: Disk Not Detected Errors.","Loose cables, failed connectors, or controller issues preventing detection.",Power off and reseat SATA/M.2/USB cables and connectors.,Try connecting the drive to another port or PC to confirm detection.,Check BIOS/UEFI to see if drive appears at firmware level.,Update motherboard BIOS and storage controller drivers if applicable.,"If not detected on multiple systems, the drive may be dead and require replacement.",Drive becomes accessible or data recovered; no further read/write errors reported.,high,Windows 11,Laptop,Drive_not_showing_in_Windows,Drive not showing in Windows - Storage diagnostic or SMART event logged.
