id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
STOR-001,Storage / Disk Error,Disk structure corrupted and unreadable,My drive shows 'Disk structure corrupted and unreadable' and I can't access files,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,Laptop,Disk,CHKDSK: Disk structure corrupted and unreadable reported read errors and bad sectors
STOR-002,Storage / Disk Error,Disk structure corrupted and unreadable,Storage problem: Disk structure corrupted and unreadable occurred after power loss,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 10,External Drive,Disk,DiskMgmt: Disk structure corrupted and unreadable - Disk not initialized or unknown partition table
STOR-003,Storage / Disk Error,Disk structure corrupted and unreadable,My drive shows 'Disk structure corrupted and unreadable' and I can't access files,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 11,Laptop,Disk,NTFS: The file system structure on disk is corrupt - Disk structure corrupted and unreadable
STOR-004,Storage / Disk Error,Disk structure corrupted and unreadable,My drive shows 'Disk structure corrupted and unreadable' and I can't access files,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 10,External Drive,Disk,DiskMgmt: Disk structure corrupted and unreadable - Disk not initialized or unknown partition table
STOR-005,Storage / Disk Error,Disk structure corrupted and unreadable,Disk structure corrupted and unreadable — I get an error when opening the drive,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 10,External Drive,Disk,DiskMgmt: Disk structure corrupted and unreadable - Disk not initialized or unknown partition table
STOR-006,Storage / Disk Error,Disk structure corrupted and unreadable,Disk structure corrupted and unreadable detected during backup,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,External Drive,Disk,SMART: Disk structure corrupted and unreadable - Reallocated Sector Count critical
STOR-007,Storage / Disk Error,Disk structure corrupted and unreadable,Disk structure corrupted and unreadable — I get an error when opening the drive,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,Desktop,Disk,SMART: Disk structure corrupted and unreadable - Reallocated Sector Count critical
STOR-008,Storage / Disk Error,Disk structure corrupted and unreadable,Storage problem: Disk structure corrupted and unreadable occurred after power loss,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,Laptop,Disk,NTFS: The file system structure on disk is corrupt - Disk structure corrupted and unreadable
STOR-009,Storage / Disk Error,Disk structure corrupted and unreadable,Disk structure corrupted and unreadable detected during backup,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,Desktop,Disk,DiskMgmt: Disk structure corrupted and unreadable - Disk not initialized or unknown partition table
STOR-010,Storage / Disk Error,Disk structure corrupted and unreadable,My USB drive became unreadable: Disk structure corrupted and unreadable,Explorer shows corruption message; cannot open drive; CHKDSK prompt,"NTFS metadata corruption due to unsafe removal, power loss, or disk errors","If removable, unplug and reconnect the drive; try a different USB port or cable.",Run CHKDSK from admin Command Prompt: chkdsk E: /f /r (replace E: with drive letter).,"If CHKDSK cannot access, try connecting the drive to another PC or use a USB adapter.",Attempt file recovery by copying important files to another drive; use recovery tools if needed.,"If drive is failing, replace it and restore from backup; avoid formatting until files retrieved.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,External Drive,Disk,NTFS: The file system structure on disk is corrupt - Disk structure corrupted and unreadable
STOR-011,Storage / Disk Error,Bad sectors detected,Bad sectors detected detected during backup,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,External Drive,Disk,DiskMgmt: Bad sectors detected - Disk not initialized or unknown partition table
STOR-012,Storage / Disk Error,Bad sectors detected,Bad sectors detected and Explorer freezes when accessing the disk,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 10,External Drive,Disk,NTFS: The file system structure on disk is corrupt - Bad sectors detected
STOR-013,Storage / Disk Error,Bad sectors detected,Bad sectors detected — I get an error when opening the drive,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 10,Desktop,Disk,NTFS: The file system structure on disk is corrupt - Bad sectors detected
STOR-014,Storage / Disk Error,Bad sectors detected,Bad sectors detected appears and Windows suggests running CHKDSK,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,Desktop,Disk,I/O Error: Bad sectors detected - Read failure at LBA 0x1A3F
STOR-015,Storage / Disk Error,Bad sectors detected,Bad sectors detected and Explorer freezes when accessing the disk,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 11,Desktop,Disk,CHKDSK: Bad sectors detected reported read errors and bad sectors
STOR-016,Storage / Disk Error,Bad sectors detected,My USB drive became unreadable: Bad sectors detected,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 10,External Drive,Disk,CHKDSK: Bad sectors detected reported read errors and bad sectors
STOR-017,Storage / Disk Error,Bad sectors detected,Bad sectors detected and I see errors copying files,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 10,Laptop,Disk,I/O Error: Bad sectors detected - Read failure at LBA 0x1A3F
STOR-018,Storage / Disk Error,Bad sectors detected,Bad sectors detected detected during backup,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,medium,Windows 10,External Drive,Disk,SMART: Bad sectors detected - Reallocated Sector Count critical
STOR-019,Storage / Disk Error,Bad sectors detected,Bad sectors detected — I get an error when opening the drive,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 10,Desktop,Disk,I/O Error: Bad sectors detected - Read failure at LBA 0x1A3F
STOR-020,Storage / Disk Error,Bad sectors detected,My USB drive became unreadable: Bad sectors detected,"Slow read/write, errors during copy, SMART alerts",Physical media degradation creating bad sectors,Immediately backup important data to another drive or cloud.,Run manufacturer's diagnostic and SMART tools to confirm bad sectors.,Run chkdsk /r to attempt remapping sectors; monitor for increasing count.,"If bad sectors increase, replace drive and clone data if possible.",Dispose of failing drive responsibly after data migration.,Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 10,External Drive,Disk,SMART: Bad sectors detected - Reallocated Sector Count critical
STOR-021,Storage / Disk Error,Partition table error / RAW partition,Partition table error / RAW partition appears and Windows suggests running CHKDSK,Drive shows RAW or unallocated; partition missing in Disk Management,Corrupt partition table or accidental deletion of partition,Do not format the drive if you need the data. Try to recover partition using TestDisk.,"Connect to another PC and run partition recovery tools (TestDisk, EaseUS Recovery Wizard).","If recovery succeeds, copy data immediately to safe storage.","If recovery fails, professional recovery services may be required for critical data.","Once data recovered, recreate partitions and format drive, then restore files.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,high,Windows 11,Desktop,Disk,I/O Error: Partition table error / RAW partition - Read failure at LBA 0x1A3F
STOR-022,Storage / Disk Error,Partition table error / RAW partition,Storage problem: Partition table error / RAW partition occurred after power loss,Drive shows RAW or unallocated; partition missing in Disk Management,Corrupt partition table or accidental deletion of partition,Do not format the drive if you need the data. Try to recover partition using TestDisk.,"Connect to another PC and run partition recovery tools (TestDisk, EaseUS Recovery Wizard).","If recovery succeeds, copy data immediately to safe storage.","If recovery fails, professional recovery services may be required for critical data.","Once data recovered, recreate partitions and format drive, then restore files.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,medium,Windows 10,Laptop,Disk,DiskMgmt: Partition table error / RAW partition - Disk not initialized or unknown partition table
STOR-023,Storage / Disk Error,Partition table error / RAW partition,Partition table error / RAW partition and I see errors copying files,Drive shows RAW or unallocated; partition missing in Disk Management,Corrupt partition table or accidental deletion of partition,Do not format the drive if you need the data. Try to recover partition using TestDisk.,"Connect to another PC and run partition recovery tools (TestDisk, EaseUS Recovery Wizard).","If recovery succeeds, copy data immediately to safe storage.","If recovery fails, professional recovery services may be required for critical data.","Once data recovered, recreate partitions and format drive, then restore files.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,medium,Windows 11,External Drive,Disk,I/O Error: Partition table error / RAW partition - Read failure at LBA 0x1A3F
STOR-024,Storage / Disk Error,Partition table error / RAW partition,Partition table error / RAW partition and Explorer freezes when accessing the disk,Drive shows RAW or unallocated; partition missing in Disk Management,Corrupt partition table or accidental deletion of partition,Do not format the drive if you need the data. Try to recover partition using TestDisk.,"Connect to another PC and run partition recovery tools (TestDisk, EaseUS Recovery Wizard).","If recovery succeeds, copy data immediately to safe storage.","If recovery fails, professional recovery services may be required for critical data.","Once data recovered, recreate partitions and format drive, then restore files.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 10,External Drive,Disk,I/O Error: Partition table error / RAW partition - Read failure at LBA 0x1A3F
STOR-025,Storage / Disk Error,Partition table error / RAW partition,My drive shows 'Partition table error / RAW partition' and I can't access files,Drive shows RAW or unallocated; partition missing in Disk Management,Corrupt partition table or accidental deletion of partition,Do not format the drive if you need the data. Try to recover partition using TestDisk.,"Connect to another PC and run partition recovery tools (TestDisk, EaseUS Recovery Wizard).","If recovery succeeds, copy data immediately to safe storage.","If recovery fails, professional recovery services may be required for critical data.","Once data recovered, recreate partitions and format drive, then restore files.",Drive accessible with files intact or successfully restored; CHKDSK reports no critical errors.,low,Windows 10,Laptop,Disk,CHKDSK: Partition table error / RAW partition reported read errors and bad sectors
