id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
UPDATEV1-0589,SFC / DISM System File Corruption Errors,SFC cannot repair files,I see 'SFC cannot repair files' when trying to update Windows.,"Symptoms: SFC cannot repair files. Update stops, rolls back, or shows error codes; system may be unstable. Category: SFC / DISM System File Corruption Errors.",Corrupted system files or component store preventing update application.,Open elevated CMD: run `DISM /Online /Cleanup-Image /RestoreHealth` then `sfc /scannow`.,"If DISM fails, supply a known-good source (install.wim) via the /Source option.",Review CBS and DISM logs to identify problematic files and attempt manual replacement.,Perform an in-place upgrade repair if system files cannot be fixed.,Backup data and consider a clean install if corruption persists.,Update completes successfully or rolls back cleanly; no recurring errors.,low,Windows 11,Desktop,SFC_cannot_repair_files,SFC cannot repair files - WindowsUpdate log or CBS entry.
UPDATEV1-0131,Windows Update Installation Errors,Installation aborted during install,'Installation aborted during install' shows up and prevents installation.,"Symptoms: Installation aborted during install. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Update Installation Errors.","Files in use, corrupted packages, or installation script failures.","Reboot and close all apps to free files that might be in use, then retry the update.",Run `DISM /Online /Cleanup-Image /RestoreHealth` and `sfc /scannow` to repair system files.,Check for optional updates and install any prerequisite updates first.,Free up disk space and ensure antivirus is not blocking installer actions.,"If installation repeatedly fails, create installation media and perform an in-place upgrade.",Update completes successfully or rolls back cleanly; no recurring errors.,high,Windows 10,Desktop,Installation_aborted_during_install,Installation aborted during install - WindowsUpdate log or CBS entry.
UPDATEV1-0342,Version / Build Upgrade Errors,Cannot upgrade build,'Cannot upgrade build' shows up and prevents installation.,"Symptoms: Cannot upgrade build. Update stops, rolls back, or shows error codes; system may be unstable. Category: Version / Build Upgrade Errors.","Insufficient partition space, incompatible hardware, or failed setup phases.",Ensure adequate free space on system and reserved partitions; clean up disk.,Update BIOS/UEFI to the latest recommended version from your vendor.,"Verify hardware meets the new build requirements (TPM, CPU compatibility).",Disconnect external drives and unnecessary devices during major upgrades.,Use Windows Update Assistant or Media Creation Tool for complex upgrades.,Update completes successfully or rolls back cleanly; no recurring errors.,medium,Windows 10,Desktop,Cannot_upgrade_build,Cannot upgrade build - WindowsUpdate log or CBS entry.
UPDATEV1-0468,Windows Store / Component Servicing Errors,0x800f081f missing sources,'0x800f081f missing sources' shows up and prevents installation.,"Symptoms: 0x800f081f missing sources. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Store / Component Servicing Errors.",Component-based servicing corruption or missing update sources.,Run `DISM /Online /Cleanup-Image /RestoreHealth` to repair component store.,Check CBS logs for detailed errors and address missing source files.,Download missing packages from Microsoft Update Catalog if referenced by error.,Reset Windows Update components using the provided cleanup scripts.,"If servicing stack is corrupted, install the latest SSU manually then retry updates.",Update completes successfully or rolls back cleanly; no recurring errors.,low,Windows 10,Workstation,0x800f081f_missing_sources,0x800f081f missing sources - WindowsUpdate log or CBS entry.
UPDATEV1-0189,Windows Update Installation Errors,0x80070020 file in use,I see '0x80070020 file in use' when trying to update Windows.,"Symptoms: 0x80070020 file in use. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Update Installation Errors.","Files in use, corrupted packages, or installation script failures.","Reboot and close all apps to free files that might be in use, then retry the update.",Run `DISM /Online /Cleanup-Image /RestoreHealth` and `sfc /scannow` to repair system files.,Check for optional updates and install any prerequisite updates first.,Free up disk space and ensure antivirus is not blocking installer actions.,"If installation repeatedly fails, create installation media and perform an in-place upgrade.",Update completes successfully or rolls back cleanly; no recurring errors.,low,Windows 10,Desktop,0x80070020_file_in_use,0x80070020 file in use - WindowsUpdate log or CBS entry.
UPDATEV1-0177,Windows Update Installation Errors,Installation aborted during install,I see 'Installation aborted during install' when trying to update Windows.,"Symptoms: Installation aborted during install. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Update Installation Errors.","Files in use, corrupted packages, or installation script failures.","Reboot and close all apps to free files that might be in use, then retry the update.",Run `DISM /Online /Cleanup-Image /RestoreHealth` and `sfc /scannow` to repair system files.,Check for optional updates and install any prerequisite updates first.,Free up disk space and ensure antivirus is not blocking installer actions.,"If installation repeatedly fails, create installation media and perform an in-place upgrade.",Update completes successfully or rolls back cleanly; no recurring errors.,high,Windows 10,Workstation,Installation_aborted_during_install,Installation aborted during install - WindowsUpdate log or CBS entry.
UPDATEV1-0351,Version / Build Upgrade Errors,Reserved partition full,After checking for updates I get: Reserved partition full.,"Symptoms: Reserved partition full. Update stops, rolls back, or shows error codes; system may be unstable. Category: Version / Build Upgrade Errors.","Insufficient partition space, incompatible hardware, or failed setup phases.",Ensure adequate free space on system and reserved partitions; clean up disk.,Update BIOS/UEFI to the latest recommended version from your vendor.,"Verify hardware meets the new build requirements (TPM, CPU compatibility).",Disconnect external drives and unnecessary devices during major upgrades.,Use Windows Update Assistant or Media Creation Tool for complex upgrades.,Update completes successfully or rolls back cleanly; no recurring errors.,low,Windows 10,Workstation,Reserved_partition_full,Reserved partition full - WindowsUpdate log or CBS entry.
UPDATEV1-0713,Windows Update Service & Background Service Failures,Update database corruption,I see 'Update database corruption' when trying to update Windows.,"Symptoms: Update database corruption. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Update Service & Background Service Failures.",Windows Update / BITS / CryptSvc not running or corrupted update database.,"Open services.msc and ensure Windows Update, BITS, and Cryptographic services are running.",Reset Windows Update components using recommended Microsoft scripts.,Repair the update database by renaming SoftwareDistribution and catroot2 folders and restarting services.,Check Event Viewer for service startup errors and address root causes.,"If services repeatedly fail, perform an in-place repair or clean install.",Update completes successfully or rolls back cleanly; no recurring errors.,low,Windows 11,Desktop,Update_database_corruption,Update database corruption - WindowsUpdate log or CBS entry.
UPDATEV1-0760,Windows Update Service & Background Service Failures,Windows Update service disabled,I see 'Windows Update service disabled' when trying to update Windows.,"Symptoms: Windows Update service disabled. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Update Service & Background Service Failures.",Windows Update / BITS / CryptSvc not running or corrupted update database.,"Open services.msc and ensure Windows Update, BITS, and Cryptographic services are running.",Reset Windows Update components using recommended Microsoft scripts.,Repair the update database by renaming SoftwareDistribution and catroot2 folders and restarting services.,Check Event Viewer for service startup errors and address root causes.,"If services repeatedly fail, perform an in-place repair or clean install.",Update completes successfully or rolls back cleanly; no recurring errors.,medium,Windows 10,Laptop,Windows_Update_service_disabled,Windows Update service disabled - WindowsUpdate log or CBS entry.
UPDATEV1-0041,Windows Update Download Errors,Slow update download,Problem: Slow update download — update won't complete.,"Symptoms: Slow update download. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Update Download Errors.","Network issues, Windows Update cache corruption, or service problems preventing download.",Restart PC and ensure a stable internet connection; disable VPN/proxy temporarily.,Run Windows Update Troubleshooter (Settings → Troubleshoot → Windows Update).,"Stop Windows Update and BITS services, clear SoftwareDistribution\Download folder, then restart services.",Temporarily disable third-party security software that may block downloads.,Try using the Update Assistant or download the update manually from Microsoft Update Catalog.,Update completes successfully or rolls back cleanly; no recurring errors.,high,Windows 11,Desktop,Slow_update_download,Slow update download - WindowsUpdate log or CBS entry.
UPDATEV1-0477,Windows Store / Component Servicing Errors,0x800f0988 package not applied,After checking for updates I get: 0x800f0988 package not applied.,"Symptoms: 0x800f0988 package not applied. Update stops, rolls back, or shows error codes; system may be unstable. Category: Windows Store / Component Servicing Errors.",Component-based servicing corruption or missing update sources.,Run `DISM /Online /Cleanup-Image /RestoreHealth` to repair component store.,Check CBS logs for detailed errors and address missing source files.,Download missing packages from Microsoft Update Catalog if referenced by error.,Reset Windows Update components using the provided cleanup scripts.,"If servicing stack is corrupted, install the latest SSU manually then retry updates.",Update completes successfully or rolls back cleanly; no recurring errors.,low,Windows 10,Workstation,0x800f0988_package_not_applied,0x800f0988 package not applied - WindowsUpdate log or CBS entry.
