id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
UPD-001,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,high,Windows 10,Laptop,Update,DISM: Component store corruption — Windows update failed
UPD-002,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 10,Laptop,Update,WindowsUpdate: Failure detected — Windows update failed
UPD-003,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,high,Windows 10,Desktop,Update,WindowsUpdate: Failure detected — Windows update failed
UPD-004,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 10,Laptop,Update,SFC: Corrupt system files found — Windows update failed
UPD-005,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,high,Windows 10,Laptop,Update,UpdateOrchestrator: Installation failure — Windows update failed
UPD-006,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 11,Desktop,Update,WindowsUpdate: Failure detected — Windows update failed
UPD-007,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 11,Desktop,Update,DISM: Component store corruption — Windows update failed
UPD-008,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 10,Desktop,Update,WindowsUpdate: Failure detected — Windows update failed
UPD-009,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 11,Laptop,Update,DISM: Component store corruption — Windows update failed
UPD-010,Windows Update / OS Error,Windows update failed,Windows update failed — Windows cannot finish updates and shows an error message.,Updates fail repeatedly with generic error messages or codes.,"Corrupted update cache, missing files, or service failure.",Run the Windows Update Troubleshooter from Settings → System → Troubleshoot.,Stop update services and clear cache: stop wuauserv and delete SoftwareDistribution folder.,Run SFC scan: sfc /scannow to repair system files.,Run DISM: DISM /Online /Cleanup-Image /RestoreHealth to fix Windows image.,Manually install updates using Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,medium,Windows 11,Laptop,Update,UpdateOrchestrator: Installation failure — Windows update failed
UPD-021,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,medium,Windows 11,Laptop,Update,SFC: Corrupt system files found — Update stuck at 100%
UPD-022,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,high,Windows 11,Laptop,Update,UpdateOrchestrator: Installation failure — Update stuck at 100%
UPD-023,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,medium,Windows 11,Laptop,Update,DISM: Component store corruption — Update stuck at 100%
UPD-024,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 10,Desktop,Update,UpdateOrchestrator: Installation failure — Update stuck at 100%
UPD-025,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,high,Windows 11,Desktop,Update,SFC: Corrupt system files found — Update stuck at 100%
UPD-026,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 11,Laptop,Update,WindowsUpdate: Failure detected — Update stuck at 100%
UPD-027,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,low,Windows 10,Laptop,Update,UpdateOrchestrator: Installation failure — Update stuck at 100%
UPD-028,Windows Update / OS Error,Update stuck at 100%,Update stuck at 100% — Windows cannot finish updates and shows an error message.,Update reaches 100% but never completes.,Corrupted installer or OS component conflict.,Wait at least 20 minutes—some updates take extra time.,Restart the computer and retry the update.,Run SFC and DISM to repair damaged components.,Disconnect external devices and try again.,Install update manually via Microsoft Update Catalog.,Updates install successfully and Windows version matches expected build.,high,Windows 10,Desktop,Update,UpdateOrchestrator: Installation failure — Update stuck at 100%
