text,error_type
pc gets very hot when playing games,GPU Overheat
overheating my pc while gaming,GPU Overheat
blue screen with sad face and stop code,Blue Screen (BSOD)
no bootable device found,Windows Boot Failure
want to upgrade to 1tb ssd,SSD Upgrade
need more ram for chrome tabs and multitasking,RAM Upgrade
wifi keeps disconnecting every few minutes,Wi-Fi Adapter Upgrade
pc randomly shuts down when I play games,PSU / Power Issue
monitor is not power on,PSU / Power Issue
no signal on monitor but pc is on,No Display / No Signal
pc restarts when I play games,GPU Overheat
windows takes 5 minutes to start,SSD Upgrade
computer running very slow,Slow Performance
browser tabs closing automatically,RAM Upgrade
random shutdowns during gaming,GPU Overheat
phone not connecting to pc,Phone Connection Issue
phone not connecting to computer,Phone Connection Issue
can not connect phone to pc,Phone Connection Issue
usb device not recognized,USB / Port Issue
phone not detected by computer,Phone Connection Issue
phone is not connecting to to the pc,Phone Connection Issue
mobile phone not connecting to pc,Phone Connection Issue
android phone not connecting to computer,Phone Connection Issue
iphone not connecting to pc,Phone Connection Issue
phone won't connect to pc,Phone Connection Issue
device not connecting to pc,Phone Connection Issue
phone not recognized by pc,Phone Connection Issue
phone not showing on computer,Phone Connection Issue
phone doesn't connect to pc,Phone Connection Issue
My PC shuts down randomly when I open a game.,PSU / Power Issue
Screen keeps flickering when I move the mouse.,Monitor or GPU Check
Laptop fan makes loud noise after 10 minutes of use.,CPU Overheat
The computer does not detect my USB drive.,USB / Port Issue
My PC freezes when I open multiple Chrome tabs.,RAM Upgrade
"Monitor shows ""no signal"" even though the PC is running.",No Display / No Signal
Computer takes too long to start Windows.,SSD Upgrade
PC keeps restarting without any warning.,PSU / Power Issue
The Wi-Fi disconnects only on my desktop.,Wi-Fi Adapter Upgrade
Audio keeps crackling during calls.,General Repair
Laptop battery drains very quickly.,General Repair
Games have extremely low FPS even on low graphics.,GPU Upgrade
The PC overheats whenever I play heavy games.,GPU Overheat
Blue screen appears after connecting my external hard drive.,Blue Screen (BSOD)
Clicking noise is coming from inside the computer.,SSD Upgrade
PC shows random color lines on display.,Monitor or GPU Check
Laptop keyboard types on its own sometimes.,General Repair
My PC won't turn on unless I remove and reconnect the cables.,PSU / Power Issue
The computer shuts down when I plug in my phone.,PSU / Power Issue
Multiple apps freeze when I try to multitask.,RAM Upgrade
My PC smells like burning after running for a few minutes.,PSU / Power Issue
Laptop doesn't charge unless I hold the charger tightly.,General Repair
The system lags badly when opening games.,GPU Upgrade
My PC won't detect the graphics card.,GPU Upgrade
The audio works but microphone does not.,General Repair
Mouse disconnects randomly.,USB / Port Issue
My PC is stuck on the manufacturer logo while booting.,Windows Boot Failure
Windows crashes when installing updates.,Windows Boot Failure
The internet speed is extremely slow only on this PC.,Wi-Fi Adapter Upgrade
Laptop gets hot even when idle.,CPU Overheat
PC fans spin at 100% for no reason.,CPU Overheat
The screen turns black while gaming.,GPU Overheat
My PC freezes on the login screen.,Windows Boot Failure
The computer cannot detect the SSD sometimes.,SSD Upgrade
File transfers are extremely slow.,SSD Upgrade
Bluetooth headphones keep disconnecting.,General Repair
Laptop screen has dim brightness and won't increase.,Monitor or GPU Check
PC crashes when using video editing software.,GPU Upgrade
My monitor randomly turns off while the PC runs.,Monitor or GPU Check
Keyboard stops working after waking from sleep.,General Repair
GPU fans do not spin.,GPU Upgrade
The PC vibrates or makes buzzing sounds.,PSU / Power Issue
Wi-Fi shows limited connectivity on this PC only.,Wi-Fi Adapter Upgrade
My laptop doesn't boot unless I remove the battery.,PSU / Power Issue
Windows doesn't recognize my printer.,USB / Port Issue
The PC won't connect to Bluetooth devices.,General Repair
Apps open very slowly on startup.,SSD Upgrade
The system hangs when copying large files.,SSD Upgrade
Computer restarts when launching a game.,PSU / Power Issue
PC gives a blue screen during boot.,Blue Screen (BSOD)
