user_text,error_type
monitor is black but pc is running,No Display / No Signal
screen says no signal,No Display / No Signal
screen turns on then goes black,No Display / No Signal
no display on monitor,No Display / No Signal
monitor black but computer running,No Display / No Signal
screen black but pc on,No Display / No Signal
no signal on monitor,No Display / No Signal
monitor shows no signal,No Display / No Signal
display black but system running,No Display / No Signal
screen displays no signal,No Display / No Signal
monitor no signal error,No Display / No Signal
no signal message on screen,No Display / No Signal
black screen but pc running,No Display / No Signal
monitor lights up then black,No Display / No Signal
screen flashes then black,No Display / No Signal
monitor is black but pc is running 0,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 10,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 20,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 30,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 40,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 50,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 60,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 70,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 80,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running 90,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
