event_id,created_at,user_id,error_type,context,candidates_shown,clicked_id,contacted_id,chosen_id,solved,user_rating,time_to_resolution_days,comment
1,2025-09-14 02:47:33,user_86,Data Recovery,"{'budget': 'medium', 'urgency': 'high', 'district': 'Badulla'}","['NUW081', 'BAT233', 'BAD317', 'GAM027', 'KUR265']",BAD317,,BAD317,True,3,0.7,
2,2025-09-03 23:29:33,user_28,PSU / Power Issue,"{'budget': 'low', 'urgency': 'high', 'district': 'Gampaha'}","['BAT235', 'MUL187', 'HAM130', 'GAM016', 'ANU288', 'GAM017', 'VAV203', 'PUT271']",GAM017,GAM017,GAM017,False,3,8.25,
3,2025-09-03 19:00:33,user_54,GPU Overheat,"{'budget': 'low', 'urgency': 'high', 'district': 'Colombo'}","['COL011', 'NUW078', 'KUR258', 'VAV207', 'JAF144']",COL011,,COL011,True,5,1.32,
4,2025-09-21 02:23:33,user_116,Boot Failure,"{'budget': 'medium', 'urgency': 'high', 'district': 'Anuradhapura'}","['KUR261', 'BAD326', 'RAT349', 'ANU294', 'RAT348', 'GAL102', 'JAF136', 'BAD321']",BAD326,ANU294,ANU294,True,5,2.43,
5,2025-08-25 00:42:33,user_112,OS Installation,"{'budget': 'medium', 'urgency': 'low', 'district': 'Nuwara Eliya'}","['HAM127', 'MAN166', 'BAT231', 'HAM124', 'GAL098', 'NUW079']",NUW079,NUW079,NUW079,True,4,1.18,
6,2025-09-16 22:55:33,user_35,GPU Overheat,"{'budget': 'high', 'urgency': 'medium', 'district': 'Nuwara Eliya'}","['COL011', 'RAT360', 'KAL032', 'NUW083', 'ANU299', 'HAM129']",RAT360,,NUW083,True,4,2.23,
7,2025-09-09 21:48:33,user_67,GPU Overheat,"{'budget': 'low', 'urgency': 'high', 'district': 'Matara'}","['MON334', 'MAT065', 'GAL092', 'MAT113', 'ANU295']",MAT113,MAT113,MAT113,True,5,0.54,
8,2025-08-14 03:36:33,user_76,OS Installation,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Matale'}","['AMP255', 'MAT064', 'PUT274', 'MAT107', 'MON333', 'KUR257']",MAT064,MAT064,MAT064,True,5,0.32,
9,2025-09-04 05:53:33,user_5,Data Recovery,"{'budget': 'low', 'urgency': 'low', 'district': 'Matara'}","['HAM128', 'KEG369', 'POL304', 'GAM027', 'MON333', 'COL003', 'MAT106']",MAT106,MAT106,MAT106,True,5,1.81,
10,2025-09-24 01:26:33,user_49,SSD Upgrade,"{'budget': 'medium', 'urgency': 'low', 'district': 'Matale'}","['POL306', 'COL006', 'MAT074', 'KAL034', 'NUW076']",MAT074,MAT074,MAT074,True,4,2.16,
11,2025-09-16 04:32:33,user_112,OS Installation,"{'budget': 'medium', 'urgency': 'high', 'district': 'Nuwara Eliya'}","['ANU288', 'COL001', 'COL009', 'BAD316', 'GAL091', 'NUW088']",NUW088,NUW088,NUW088,True,5,1.53,
12,2025-09-22 19:22:33,user_15,RAM Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Hambantota'}","['JAF147', 'HAM135', 'VAV197', 'KUR259', 'COL007']",HAM135,HAM135,HAM135,True,5,0.31,
13,2025-09-22 21:45:33,user_94,RAM Upgrade,"{'budget': 'medium', 'urgency': 'low', 'district': 'Galle'}","['KIL162', 'JAF136', 'COL007', 'AMP244', 'AMP248', 'GAL098']",KIL162,,GAL098,True,5,1.64,
14,2025-09-16 00:34:33,user_22,Blue Screen (BSOD),"{'budget': 'low', 'urgency': 'medium', 'district': 'Kegalle'}","['KEG362', 'HAM121', 'ANU295', 'GAM029', 'RAT349', 'BAT230']",KEG362,KEG362,KEG362,True,4,2.43,
15,2025-09-17 19:40:33,user_75,Blue Screen (BSOD),"{'budget': 'low', 'urgency': 'high', 'district': 'Ampara'}","['MAT110', 'BAT233', 'AMP248', 'COL004', 'RAT352', 'VAV196']",BAT233,,AMP248,True,5,3.6,
16,2025-08-18 01:49:33,user_21,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'low', 'district': 'Hambantota'}","['BAD319', 'GAL092', 'AMP251', 'HAM126', 'RAT360']",HAM126,HAM126,HAM126,True,5,3.46,
17,2025-09-20 23:48:33,user_8,Blue Screen (BSOD),"{'budget': 'medium', 'urgency': 'high', 'district': 'Monaragala'}","['KEG369', 'MAN169', 'COL013', 'NUW087', 'MAT068', 'MON341']",MON341,MON341,MON341,True,4,0.98,
18,2025-09-21 21:34:33,user_62,RAM Upgrade,"{'budget': 'low', 'urgency': 'low', 'district': 'Kegalle'}","['GAM028', 'COL007', 'TRI222', 'KEG374', 'KIL164']",KEG374,KEG374,KEG374,True,3,2.27,
19,2025-08-29 21:08:33,user_80,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'low', 'district': 'Kegalle'}","['NUW084', 'KEG371', 'MON334', 'MAT064', 'GAM021', 'BAD325', 'GAL099', 'KEG370']",KEG371,,KEG371,False,2,3.93,
20,2025-09-07 05:00:33,user_28,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'low', 'district': 'Ampara'}","['BAT234', 'GAM027', 'POL303', 'KIL155', 'AMP241', 'KAL031', 'MAN177']",AMP241,,AMP241,True,5,2.98,
